Scale,85,90,92,93,95,100
Scale 1,152418.0,167853.7,173944.7,177059.3,183181.0,198556.3
Scale 2,190516.0,205839.3,211946.7,215089.3,221187.7,236485.0
Scale 3,298069.0,314305.3,320454.0,323893.3,330301.7,346490.0
Scale 4,-356360.7,-371979.3,-378233.7,-381308.7,-387483.3,-403393.3
Scale 5,410820.0,426167.7,432352.3,435435.0,441564.7,456971.7
Scale 6,488062.0,504056.3,510488.3,513710.0,520130.0,536138.0
Scale 7,381444.0,397004.3,403198.3,406390.7,412612.3,428191.7
Scale 8,355838.3,371448.0,377722.7,380858.7,387054.0,402723.7
Scale 9,200630.3,215762.7,221848.0,224917.7,230990.0,246210.3
Scale 10,289990.3,305750.3,312029.0,315190.7,321505.0,337381.7
Scale 11,233255.0,249362.7,255854.7,259043.3,265543.3,281658.7
Scale 12,381690.0,396831.7,402779.0,405828.3,411831.7,426970.7
Scale 13,192052.0,208588.0,215209.3,218551.7,225152.3,241738.3
Scale 14,110551.3,125386.7,131225.0,134188.7,140131.7,154922.0
Scale 15,305367.7,320875.0,327267.0,330323.0,336615.7,351680.3
Scale 16,218039.0,233239.7,239301.7,242326.3,248330.7,263640.3
