time 1,PET_0.03mm1, time 2,PGA-commercial-1,time 3,Asics-goretex_1, time 4,Asics-goretex_2,time 5 ,Asics-goretex_3, time 6,Nothing,time 7,northface-dryvent_1, time 8,northface-dryvent_2,time 9 ,northface-dryvent_3, time 10,H-M_1,time 11,H-M_2, time 12,H-M_3,time 13 ,Natural-Gear_1, time 14,Natural-Gear_2,time 15,Natural-Gear_3, time 16,PGA-commercial_2
2, 176429.5, 2, 241903.1, 2, 1147686.0, 2, 400671.9, 2, 419977.7, 2, 0.0, 2, 193446.5, 2, 362929.5, 2, 275784.9, 2, 330725.5, 2, 264804.9, 2, 350836.4, 2, 276245.3, 2, 356234.3, 2, 410718.9, 2, 260482.9
4, 176375.0, 4, 241836.7, 4, 1147688.0, 4, 400620.6, 4, 419924.4, 4, 0.0, 4, 193433.8, 4, 362886.9, 4, 275778.1, 4, 330644.8, 4, 264860.5, 4, 350806.9, 4, 276176.2, 4, 356237.9, 4, 410550.0, 4, 260455.2
6, 176360.0, 6, 241839.2, 6, 1147683.0, 6, 400546.3, 6, 419919.5, 6, 0.0, 6, 193451.0, 6, 362831.4, 6, 275809.9, 6, 330601.7, 6, 264952.0, 6, 350797.5, 6, 276121.3, 6, 356261.5, 6, 410452.4, 6, 260457.6
8, 176309.1, 8, 241786.8, 8, 1147633.0, 8, 400507.2, 8, 419912.2, 8, 0.0, 8, 193433.1, 8, 362806.3, 8, 275814.1, 8, 330558.0, 8, 265018.0, 8, 350803.4, 8, 276063.8, 8, 356279.4, 8, 410370.1, 8, 260445.5
10, 176272.8, 10, 241756.5, 10, 1147620.0, 10, 400492.7, 10, 419901.2, 10, 0.0, 10, 193424.3, 10, 362744.0, 10, 275807.8, 10, 330500.1, 10, 265002.5, 10, 350781.6, 10, 276057.2, 10, 356281.1, 10, 410329.6, 10, 260430.7
12, 176234.4, 12, 241723.4, 12, 1147624.0, 12, 400477.6, 12, 419900.3, 12, 0.0, 12, 193427.0, 12, 362716.0, 12, 275830.3, 12, 330495.0, 12, 265078.8, 12, 350802.2, 12, 276017.9, 12, 356316.9, 12, 410273.2, 12, 260462.1
14, 176220.9, 14, 241713.6, 14, 1147589.0, 14, 400468.4, 14, 419865.8, 14, 0.0, 14, 193421.8, 14, 362701.0, 14, 275831.0, 14, 330478.4, 14, 265104.0, 14, 350803.6, 14, 275977.3, 14, 356322.5, 14, 410234.5, 14, 260458.7
16, 176196.7, 16, 241680.0, 16, 1147559.0, 16, 400451.6, 16, 419852.4, 16, 0.0, 16, 193421.9, 16, 362662.9, 16, 275821.6, 16, 330428.3, 16, 265126.8, 16, 350804.5, 16, 275974.4, 16, 356308.6, 16, 410237.0, 16, 260452.2
18, 176215.4, 18, 241682.9, 18, 1147568.0, 18, 400442.2, 18, 419847.7, 18, 0.0, 18, 193412.2, 18, 362658.3, 18, 275826.8, 18, 330456.5, 18, 265174.4, 18, 350796.3, 18, 275958.1, 18, 356315.4, 18, 410189.6, 18, 260484.6
20, 176154.1, 20, 241656.0, 20, 1147523.0, 20, 400440.5, 20, 419838.5, 20, 0.0, 20, 193449.9, 20, 362644.8, 20, 275824.6, 20, 330444.6, 20, 265185.6, 20, 350795.6, 20, 275945.6, 20, 356328.2, 20, 410179.1, 20, 260462.8
22, 176198.7, 22, 241678.4, 22, 1147536.0, 22, 400449.9, 22, 419826.5, 22, 0.0, 22, 193431.6, 22, 362627.0, 22, 275811.9, 22, 330460.5, 22, 265223.9, 22, 350834.2, 22, 275958.1, 22, 356331.8, 22, 410207.2, 22, 260498.8
24, 176183.5, 24, 241680.5, 24, 1147500.0, 24, 400490.7, 24, 419849.7, 24, 0.0, 24, 193414.8, 24, 362644.8, 24, 275784.5, 24, 330476.4, 24, 265201.3, 24, 350822.3, 24, 275951.3, 24, 356298.7, 24, 410262.7, 24, 260517.7
26, 176176.3, 26, 241686.9, 26, 1147512.0, 26, 400499.9, 26, 419833.6, 26, 0.0, 26, 193412.9, 26, 362615.9, 26, 275753.2, 26, 330510.6, 26, 265153.3, 26, 350834.2, 26, 275956.3, 26, 356282.0, 26, 410301.8, 26, 260519.1
28, 176183.3, 28, 241700.2, 28, 1147538.0, 28, 400499.0, 28, 419818.0, 28, 0.0, 28, 193399.9, 28, 362622.5, 28, 275753.4, 28, 330504.3, 28, 265149.5, 28, 350839.7, 28, 275977.9, 28, 356258.3, 28, 410306.9, 28, 260486.6
30, 173285.4, 30, 241699.8, 30, 1147558.0, 30, 400467.5, 30, 419784.7, 30, 0.0, 30, 193403.1, 30, 362640.1, 30, 275764.4, 30, 330484.9, 30, 265176.9, 30, 350844.1, 30, 275936.0, 30, 356299.8, 30, 410276.0, 30, 260498.6
32, 176173.6, 32, 241685.8, 32, 1147526.0, 32, 400464.5, 32, 419810.4, 32, 0.0, 32, 193425.2, 32, 362649.2, 32, 275785.8, 32, 330452.5, 32, 265204.7, 32, 350818.1, 32, 275946.2, 32, 356292.4, 32, 410208.8, 32, 260475.4
34, 176161.7, 34, 241670.9, 34, 1147503.0, 34, 400420.9, 34, 419783.8, 34, 0.0, 34, 193410.4, 34, 362607.0, 34, 275786.6, 34, 330409.2, 34, 265214.8, 34, 350815.8, 34, 275927.6, 34, 356282.3, 34, 410210.3, 34, 260478.2
36, 176172.7, 36, 241660.5, 36, 1147499.0, 36, 400399.3, 36, 419784.5, 36, 0.0, 36, 193453.2, 36, 362598.6, 36, 275782.8, 36, 330412.2, 36, 265250.6, 36, 350821.0, 36, 275899.8, 36, 356298.4, 36, 410160.6, 36, 260485.2
38, 176139.3, 38, 241645.5, 38, 1147449.0, 38, 400385.3, 38, 419764.9, 38, 0.0, 38, 193420.5, 38, 362573.7, 38, 275771.5, 38, 330393.5, 38, 265236.4, 38, 350826.1, 38, 275888.0, 38, 356298.5, 38, 410180.1, 38, 260469.3
40, 176125.8, 40, 241639.3, 40, 1147455.0, 40, 400379.0, 40, 419754.7, 40, 0.0, 40, 193438.8, 40, 362553.3, 40, 275761.1, 40, 330371.3, 40, 265267.6, 40, 350807.0, 40, 275870.0, 40, 356282.7, 40, 410154.3, 40, 260486.0
42, 176133.1, 42, 241625.9, 42, 1147471.0, 42, 400372.1, 42, 419755.8, 42, 0.0, 42, 193467.4, 42, 362568.5, 42, 275781.9, 42, 330366.3, 42, 265283.6, 42, 350811.9, 42, 275887.6, 42, 356302.6, 42, 410132.6, 42, 260475.7
44, 176114.7, 44, 241602.7, 44, 1147463.0, 44, 400373.6, 44, 419749.3, 44, 0.0, 44, 193440.9, 44, 362551.3, 44, 275752.5, 44, 330370.1, 44, 265285.9, 44, 350808.1, 44, 275858.6, 44, 356287.8, 44, 410111.0, 44, 260478.4
46, 176119.1, 46, 241610.7, 46, 1147465.0, 46, 400371.5, 46, 419738.5, 46, 0.0, 46, 193442.6, 46, 362549.9, 46, 275775.7, 46, 330384.8, 46, 265295.5, 46, 350817.1, 46, 275852.8, 46, 356302.4, 46, 410145.9, 46, 260488.3
48, 176107.6, 48, 241582.1, 48, 1147419.0, 48, 400362.1, 48, 419717.2, 48, 0.0, 48, 193446.5, 48, 362530.7, 48, 275779.2, 48, 330355.5, 48, 265293.3, 48, 350801.6, 48, 275849.8, 48, 356312.2, 48, 410134.4, 48, 260467.3
50, 176078.3, 50, 241569.6, 50, 1147433.0, 50, 400356.0, 50, 419704.7, 50, 0.0, 50, 193462.3, 50, 362514.4, 50, 275770.7, 50, 330350.5, 50, 265317.5, 50, 350818.4, 50, 275832.2, 50, 356291.5, 50, 410137.5, 50, 260486.2
52, 176119.7, 52, 241586.8, 52, 1147401.0, 52, 400366.0, 52, 419698.3, 52, 0.0, 52, 193478.3, 52, 362518.5, 52, 275781.2, 52, 330347.0, 52, 265327.9, 52, 350802.0, 52, 275854.1, 52, 356282.3, 52, 410102.8, 52, 260488.8
54, 176104.8, 54, 241587.5, 54, 1147380.0, 54, 400353.4, 54, 419692.2, 54, 0.03333333, 54, 193463.1, 54, 362513.7, 54, 275750.6, 54, 330330.5, 54, 265306.3, 54, 350810.0, 54, 275814.8, 54, 356291.7, 54, 410122.0, 54, 260484.0
56, 176098.2, 56, 241583.9, 56, 1147411.0, 56, 400342.8, 56, 419709.3, 56, 0.0, 56, 193485.3, 56, 362512.8, 56, 275780.9, 56, 330344.8, 56, 265331.6, 56, 350817.8, 56, 275833.9, 56, 356277.8, 56, 410130.6, 56, 260487.9
58, 176132.3, 58, 241590.6, 58, 1147392.0, 58, 400341.0, 58, 419698.5, 58, 0.0, 58, 193473.2, 58, 362529.8, 58, 275759.0, 58, 330361.0, 58, 265343.5, 58, 350819.6, 58, 275872.7, 58, 356287.8, 58, 410137.9, 58, 260481.9
60, 176089.6, 60, 241582.0, 60, 1147368.0, 60, 400373.9, 60, 419699.3, 60, 0.0, 60, 193462.0, 60, 362521.5, 60, 275742.0, 60, 330383.8, 60, 265312.2, 60, 350797.3, 60, 275843.8, 60, 356267.0, 60, 410201.0, 60, 260502.7
62, 176089.5, 62, 241595.7, 62, 1147405.0, 62, 400370.9, 62, 419681.6, 62, 0.0, 62, 193450.1, 62, 362518.8, 62, 275748.4, 62, 330390.0, 62, 265285.9, 62, 350809.1, 62, 275854.6, 62, 356265.1, 62, 410222.6, 62, 260489.2
64, 176111.4, 64, 241611.7, 64, 1147412.0, 64, 400378.5, 64, 419662.5, 64, 0.0, 64, 193485.4, 64, 362527.3, 64, 275789.8, 64, 330371.1, 64, 265305.4, 64, 350832.3, 64, 275848.4, 64, 356259.6, 64, 410184.0, 64, 260505.6
66, 176133.4, 66, 241612.3, 66, 1147374.0, 66, 400335.3, 66, 419671.0, 66, 0.0, 66, 193489.9, 66, 362543.8, 66, 275761.6, 66, 330343.8, 66, 265314.3, 66, 350796.3, 66, 275833.6, 66, 356258.3, 66, 410170.9, 66, 260499.2
68, 176096.4, 68, 241584.7, 68, 1147368.0, 68, 400325.9, 68, 419670.9, 68, 0.0, 68, 193490.6, 68, 362504.6, 68, 275761.4, 68, 330341.7, 68, 265298.0, 68, 350817.3, 68, 275815.1, 68, 356263.6, 68, 410155.0, 68, 260482.3
70, 176102.2, 70, 241583.6, 70, 1147375.0, 70, 400316.6, 70, 419645.4, 70, 0.0, 70, 193492.4, 70, 362525.2, 70, 275789.9, 70, 330338.4, 70, 265342.5, 70, 350790.7, 70, 275807.2, 70, 356256.4, 70, 410128.0, 70, 260486.6
72, 176076.7, 72, 241573.3, 72, 1147345.0, 72, 400314.5, 72, 419662.2, 72, 0.0, 72, 193487.8, 72, 362502.8, 72, 275764.4, 72, 330316.7, 72, 265308.8, 72, 350801.4, 72, 275816.9, 72, 356276.3, 72, 410129.1, 72, 260495.8
74, 176061.7, 74, 241562.0, 74, 1147365.0, 74, 400291.1, 74, 419652.3, 74, 34.1, 74, 193520.9, 74, 362528.6, 74, 275789.0, 74, 330315.5, 74, 265355.0, 74, 350805.0, 74, 275819.6, 74, 356298.3, 74, 410137.5, 74, 260472.7
76, 176098.1, 76, 241569.8, 76, 1147347.0, 76, 400293.1, 76, 419658.4, 76, 0.0, 76, 193506.1, 76, 362499.9, 76, 275786.6, 76, 330315.5, 76, 265316.1, 76, 350796.9, 76, 275802.7, 76, 356268.1, 76, 410087.5, 76, 260490.5
78, 176084.8, 78, 241571.2, 78, 1147359.0, 78, 400282.0, 78, 419653.1, 78, 0.0, 78, 193494.7, 78, 362496.6, 78, 275761.3, 78, 330291.6, 78, 265356.0, 78, 350775.1, 78, 275793.3, 78, 356264.9, 78, 410120.9, 78, 260460.7
80, 176108.2, 80, 241576.3, 80, 1147362.0, 80, 400278.6, 80, 419620.1, 80, 0.0, 80, 193527.0, 80, 362512.7, 80, 275795.0, 80, 330340.4, 80, 265371.2, 80, 350802.5, 80, 275818.8, 80, 356283.8, 80, 410113.3, 80, 260468.1
82, 176083.3, 82, 241576.6, 82, 1147350.0, 82, 400282.5, 82, 419631.2, 82, 0.0, 82, 193512.0, 82, 362500.6, 82, 275776.8, 82, 330319.7, 82, 265363.0, 82, 350799.1, 82, 275811.9, 82, 356267.2, 82, 410133.6, 82, 260477.2
84, 176078.4, 84, 241578.2, 84, 1147377.0, 84, 400301.4, 84, 419618.7, 84, 0.0, 84, 193492.3, 84, 362500.6, 84, 275743.2, 84, 330336.1, 84, 265331.3, 84, 350782.3, 84, 275802.7, 84, 356243.1, 84, 410159.5, 84, 260466.6
86, 176080.1, 86, 241569.4, 86, 1147377.0, 86, 400311.0, 86, 419627.2, 86, 0.5, 86, 193525.8, 86, 362497.2, 86, 275761.6, 86, 330322.5, 86, 265340.2, 86, 350800.4, 86, 275803.5, 86, 356260.9, 86, 410129.2, 86, 260462.4
88, 176126.0, 88, 241598.7, 88, 1147396.0, 88, 400297.5, 88, 419611.1, 88, 0.0, 88, 193519.7, 88, 362519.6, 88, 275793.6, 88, 330330.0, 88, 265344.8, 88, 350809.6, 88, 275800.9, 88, 356257.2, 88, 410142.3, 88, 260470.7
90, 176090.7, 90, 241581.7, 90, 1147382.0, 90, 400300.5, 90, 419611.9, 90, 0.0, 90, 193530.9, 90, 362508.3, 90, 275763.4, 90, 330332.7, 90, 265347.2, 90, 350792.0, 90, 275783.1, 90, 356250.6, 90, 410141.5, 90, 260477.2
92, 176144.2, 92, 241608.2, 92, 1147399.0, 92, 400277.9, 92, 419593.8, 92, 0.0, 92, 193523.5, 92, 362516.6, 92, 275763.0, 92, 330349.3, 92, 265366.6, 92, 350811.9, 92, 275801.3, 92, 356245.0, 92, 410143.4, 92, 260505.5
94, 176099.2, 94, 241607.3, 94, 1147355.0, 94, 400318.2, 94, 419617.4, 94, 0.0, 94, 193521.9, 94, 362523.9, 94, 275757.0, 94, 330378.7, 94, 265326.1, 94, 350805.8, 94, 275834.7, 94, 356231.2, 94, 410203.6, 94, 260497.8
96, 176107.6, 96, 241619.6, 96, 1147370.0, 96, 400344.9, 96, 419635.3, 96, 0.0, 96, 193530.9, 96, 362527.4, 96, 275738.6, 96, 330390.9, 96, 265271.3, 96, 350816.2, 96, 275823.0, 96, 356215.6, 96, 410214.6, 96, 260496.3
98, 176107.7, 98, 241634.8, 98, 1147379.0, 98, 400344.7, 98, 419606.4, 98, 0.0, 98, 193528.0, 98, 362543.6, 98, 275756.2, 98, 330386.1, 98, 265269.7, 98, 350796.6, 98, 275821.9, 98, 356197.9, 98, 410223.3, 98, 260489.2
100, 176137.9, 100, 241635.7, 100, 1147407.0, 100, 400319.1, 100, 419612.5, 100, 0.0, 100, 193534.0, 100, 362550.0, 100, 275754.6, 100, 330386.4, 100, 265293.5, 100, 350797.7, 100, 275817.6, 100, 356211.0, 100, 410188.0, 100, 260482.6
102, 176104.9, 102, 241629.6, 102, 1147364.0, 102, 400283.2, 102, 419617.2, 102, 0.0, 102, 193535.1, 102, 362554.2, 102, 275751.6, 102, 330357.6, 102, 265275.1, 102, 350786.3, 102, 275789.6, 102, 356209.1, 102, 410138.8, 102, 260477.9
104, 176087.1, 104, 241625.4, 104, 1147380.0, 104, 400271.5, 104, 419562.2, 104, 0.0, 104, 193509.8, 104, 362517.6, 104, 275755.6, 104, 330325.3, 104, 265281.1, 104, 350776.7, 104, 275801.8, 104, 356229.0, 104, 410126.9, 104, 260462.3
106, 176115.5, 106, 241621.7, 106, 1147378.0, 106, 400233.9, 106, 419590.7, 106, 0.0, 106, 193542.9, 106, 362542.2, 106, 275759.4, 106, 330340.5, 106, 265312.2, 106, 350789.1, 106, 275812.1, 106, 356242.9, 106, 410149.7, 106, 260467.2
108, 176091.8, 108, 241596.3, 108, 1147365.0, 108, 400273.9, 108, 419578.3, 108, 0.0, 108, 193522.5, 108, 362517.7, 108, 275756.5, 108, 330358.3, 108, 265290.5, 108, 350779.0, 108, 275797.0, 108, 356236.1, 108, 410136.4, 108, 260460.4
110, 176102.8, 110, 241632.6, 110, 1147371.0, 110, 400306.0, 110, 419599.1, 110, 0.0, 110, 193520.5, 110, 362528.2, 110, 275750.2, 110, 330364.0, 110, 265300.2, 110, 350771.4, 110, 275783.7, 110, 356222.8, 110, 410155.7, 110, 260483.7
112, 176109.9, 112, 241625.0, 112, 1147394.0, 112, 400281.3, 112, 419569.7, 112, 0.0, 112, 193528.5, 112, 362544.6, 112, 275766.2, 112, 330328.8, 112, 265267.1, 112, 350783.3, 112, 275778.2, 112, 356215.4, 112, 410128.8, 112, 260453.5
114, 176125.9, 114, 241611.0, 114, 1147391.0, 114, 400257.4, 114, 419601.8, 114, 0.0, 114, 193530.2, 114, 362544.1, 114, 275771.0, 114, 330332.2, 114, 265299.0, 114, 350800.2, 114, 275774.1, 114, 356212.1, 114, 410106.5, 114, 260465.6
116, 176097.4, 116, 241597.8, 116, 1147379.0, 116, 400245.9, 116, 419585.4, 116, 0.0, 116, 193522.5, 116, 362511.6, 116, 275751.6, 116, 330311.4, 116, 265286.1, 116, 350777.9, 116, 275747.2, 116, 356206.6, 116, 410095.0, 116, 260458.2
118, 176094.5, 118, 241608.0, 118, 1147382.0, 118, 400238.4, 118, 419553.6, 118, 0.0, 118, 193533.7, 118, 362519.6, 118, 275790.0, 118, 330311.8, 118, 265312.4, 118, 350787.1, 118, 275779.3, 118, 356211.1, 118, 410086.1, 118, 260482.8
120, 176099.8, 120, 241605.9, 120, 1147352.0, 120, 400238.2, 120, 419558.6, 120, 0.0, 120, 193530.5, 120, 362522.9, 120, 275783.0, 120, 330311.5, 120, 265298.1, 120, 350779.0, 120, 275728.8, 120, 356229.8, 120, 410067.4, 120, 260453.6
122, 176094.4, 122, 241591.4, 122, 1147334.0, 122, 400229.2, 122, 419559.0, 122, 0.0, 122, 193511.0, 122, 362518.9, 122, 275765.3, 122, 330295.2, 122, 265291.1, 122, 350777.7, 122, 275750.0, 122, 356213.4, 122, 410082.5, 122, 260467.9
124, 176107.2, 124, 241589.0, 124, 1147346.0, 124, 400209.3, 124, 419561.6, 124, 0.0, 124, 193532.1, 124, 362526.4, 124, 275778.1, 124, 330304.2, 124, 265326.7, 124, 350792.3, 124, 275731.3, 124, 356204.5, 124, 410065.6, 124, 260465.9
126, 176118.0, 126, 241605.0, 126, 1147327.0, 126, 400237.8, 126, 419548.7, 126, 0.0, 126, 193542.2, 126, 362520.6, 126, 275764.5, 126, 330313.2, 126, 265336.7, 126, 350785.4, 126, 275745.5, 126, 356227.1, 126, 410073.7, 126, 260485.2
128, 176124.9, 128, 241606.9, 128, 1147338.0, 128, 400247.8, 128, 419584.2, 128, 0.0, 128, 193534.6, 128, 362559.9, 128, 275782.0, 128, 330353.6, 128, 265317.2, 128, 350809.1, 128, 275778.2, 128, 356208.0, 128, 410117.2, 128, 260501.6
130, 176114.2, 130, 241634.3, 130, 1147307.0, 130, 400284.7, 130, 419547.5, 130, 0.0, 130, 193532.4, 130, 362551.5, 130, 275751.9, 130, 330393.7, 130, 265242.5, 130, 350781.1, 130, 275792.1, 130, 356174.3, 130, 410201.3, 130, 260496.9
132, 176126.2, 132, 241643.1, 132, 1147348.0, 132, 400331.9, 132, 419558.3, 132, 0.0, 132, 193508.8, 132, 362558.0, 132, 275723.5, 132, 330421.3, 132, 265214.6, 132, 350794.9, 132, 275774.7, 132, 356167.3, 132, 410223.2, 132, 260493.8
134, 176136.1, 134, 241657.7, 134, 1147363.0, 134, 400258.4, 134, 419548.3, 134, 0.0, 134, 193521.1, 134, 362576.8, 134, 275727.2, 134, 330383.7, 134, 265200.8, 134, 350780.6, 134, 275767.9, 134, 356147.1, 134, 410195.4, 134, 260476.9
136, 176154.3, 136, 241651.0, 136, 1147395.0, 136, 400240.9, 136, 419548.1, 136, 0.0, 136, 193525.0, 136, 362577.9, 136, 275770.4, 136, 330356.4, 136, 265221.3, 136, 350793.2, 136, 275774.3, 136, 356157.3, 136, 410109.5, 136, 260500.3
138, 176114.1, 138, 241642.0, 138, 1147328.0, 138, 400230.5, 138, 419539.8, 138, 0.0, 138, 193505.2, 138, 362563.7, 138, 275767.3, 138, 330314.3, 138, 265239.6, 138, 350775.1, 138, 275753.5, 138, 356156.0, 138, 410115.5, 138, 260451.4
140, 176121.5, 140, 241651.7, 140, 1147370.0, 140, 400203.6, 140, 419527.4, 140, 0.0, 140, 193534.0, 140, 362540.2, 140, 275753.9, 140, 330324.6, 140, 265252.5, 140, 350785.4, 140, 275734.8, 140, 356180.8, 140, 410062.6, 140, 260497.7
142, 176114.1, 142, 241634.6, 142, 1147329.0, 142, 400205.8, 142, 419531.7, 142, 0.0, 142, 193548.3, 142, 362548.8, 142, 275772.0, 142, 330323.4, 142, 265253.4, 142, 350784.6, 142, 275722.0, 142, 356173.9, 142, 410048.3, 142, 260467.3
144, 176103.6, 144, 241627.6, 144, 1147328.0, 144, 400208.6, 144, 419527.8, 144, 0.0, 144, 193535.5, 144, 362526.2, 144, 275760.1, 144, 330285.8, 144, 265262.2, 144, 350756.6, 144, 275695.7, 144, 356172.7, 144, 410045.4, 144, 260458.3
146, 176133.7, 146, 241641.3, 146, 1147350.0, 146, 400202.4, 146, 419550.0, 146, 0.0, 146, 193534.2, 146, 362536.0, 146, 275777.8, 146, 330322.6, 146, 265273.4, 146, 350765.8, 146, 275736.0, 146, 356178.7, 146, 410085.1, 146, 260462.4
148, 176100.8, 148, 241644.5, 148, 1147342.0, 148, 400207.7, 148, 419539.5, 148, 0.0, 148, 193529.0, 148, 362553.0, 148, 275760.9, 148, 330333.5, 148, 265255.5, 148, 350777.7, 148, 275733.1, 148, 356192.3, 148, 410094.7, 148, 260485.0
150, 176121.9, 150, 241630.8, 150, 1147376.0, 150, 400249.8, 150, 419508.5, 150, 0.0, 150, 193520.3, 150, 362554.9, 150, 275727.3, 150, 330382.3, 150, 265210.3, 150, 350776.1, 150, 275751.5, 150, 356151.5, 150, 410130.5, 150, 260488.5
152, 176103.8, 152, 241680.0, 152, 1147387.0, 152, 400268.4, 152, 419521.9, 152, 0.0, 152, 193513.4, 152, 362555.7, 152, 275730.9, 152, 330353.8, 152, 265220.7, 152, 350735.0, 152, 275737.3, 152, 356141.1, 152, 410108.0, 152, 260467.8
154, 176134.4, 154, 241659.3, 154, 1147416.0, 154, 400242.5, 154, 419518.5, 154, 0.0, 154, 193528.4, 154, 362560.0, 154, 275742.3, 154, 330349.8, 154, 265221.9, 154, 350769.7, 154, 275720.3, 154, 356161.7, 154, 410087.6, 154, 260483.2
156, 176143.5, 156, 241656.0, 156, 1147395.0, 156, 400224.4, 156, 419521.0, 156, 0.0, 156, 193524.4, 156, 362564.2, 156, 275764.7, 156, 330351.7, 156, 265215.8, 156, 350755.4, 156, 275707.5, 156, 356149.4, 156, 410054.2, 156, 260480.8
158, 176103.7, 158, 241654.5, 158, 1147372.0, 158, 400214.3, 158, 419516.4, 158, 0.0, 158, 193513.9, 158, 362545.3, 158, 275743.6, 158, 330310.2, 158, 265229.3, 158, 350774.1, 158, 275709.2, 158, 356132.5, 158, 410023.3, 158, 260471.0
160, 176127.5, 160, 241623.6, 160, 1147409.0, 160, 400176.6, 160, 419498.6, 160, 0.0, 160, 193528.7, 160, 362564.8, 160, 275775.1, 160, 330335.0, 160, 265241.4, 160, 350788.9, 160, 275698.1, 160, 356157.8, 160, 410036.6, 160, 260490.5
162, 176149.1, 162, 241641.7, 162, 1147389.0, 162, 400205.0, 162, 419516.4, 162, 0.0, 162, 193547.7, 162, 362588.7, 162, 275773.7, 162, 330357.4, 162, 265263.1, 162, 350793.7, 162, 275718.2, 162, 356164.8, 162, 410060.9, 162, 260497.2
164, 176141.1, 164, 241656.7, 164, 1147333.0, 164, 400217.8, 164, 419525.2, 164, 0.0, 164, 193529.4, 164, 362563.6, 164, 275733.8, 164, 330398.4, 164, 265238.5, 164, 350798.7, 164, 275733.9, 164, 356145.1, 164, 410119.8, 164, 260479.9
166, 176153.4, 166, 241673.4, 166, 1147365.0, 166, 400267.0, 166, 419533.1, 166, 0.0, 166, 193508.6, 166, 362587.9, 166, 275713.8, 166, 330435.3, 166, 265145.6, 166, 350789.5, 166, 275754.8, 166, 356114.6, 166, 410183.9, 166, 260509.8
168, 176167.7, 168, 241718.3, 168, 1147370.0, 168, 400284.3, 168, 419517.4, 168, -0.03333333, 168, 193506.3, 168, 362598.0, 168, 275714.6, 168, 330420.9, 168, 265132.9, 168, 350787.5, 168, 275751.7, 168, 356094.6, 168, 410184.0, 168, 260494.1
170, 176177.1, 170, 241722.7, 170, 1147424.0, 170, 400259.2, 170, 419486.2, 170, 0.0, 170, 193504.8, 170, 362608.2, 170, 275717.4, 170, 330390.5, 170, 265134.9, 170, 350777.2, 170, 275735.1, 170, 356091.1, 170, 410112.7, 170, 260483.8
172, 176178.7, 172, 241718.3, 172, 1147411.0, 172, 400201.5, 172, 419497.1, 172, 0.0, 172, 193517.6, 172, 362623.1, 172, 275746.9, 172, 330376.8, 172, 265156.0, 172, 350768.1, 172, 275735.0, 172, 356104.5, 172, 410079.3, 172, 260474.0
174, 176149.9, 174, 241687.0, 174, 1147374.0, 174, 400198.1, 174, 419485.0, 174, 0.0, 174, 193489.8, 174, 362584.2, 174, 275729.2, 174, 330346.9, 174, 265158.5, 174, 350753.1, 174, 275700.0, 174, 356117.2, 174, 410042.0, 174, 260476.4
176, 176154.7, 176, 241691.9, 176, 1147374.0, 176, 400172.6, 176, 419493.3, 176, 0.0, 176, 193511.2, 176, 362591.1, 176, 275759.9, 176, 330323.6, 176, 265164.0, 176, 350765.6, 176, 275678.1, 176, 356124.9, 176, 409999.2, 176, 260486.7
178, 176132.0, 178, 241652.3, 178, 1147327.0, 178, 400139.2, 178, 419491.1, 178, 0.0, 178, 193503.4, 178, 362555.2, 178, 275749.1, 178, 330306.1, 178, 265185.5, 178, 350752.9, 178, 275684.4, 178, 356112.5, 178, 409985.4, 178, 260488.3
180, 176107.1, 180, 241640.4, 180, 1147346.0, 180, 400133.1, 180, 419482.2, 180, 0.0, 180, 193508.7, 180, 362568.8, 180, 275719.7, 180, 330298.3, 180, 265195.5, 180, 350744.3, 180, 275674.8, 180, 356104.3, 180, 409947.7, 180, 260438.0
182, 176122.7, 182, 241647.3, 182, 1147354.0, 182, 400144.8, 182, 419460.5, 182, 0.0, 182, 193508.7, 182, 362577.1, 182, 275765.7, 182, 330288.1, 182, 265215.1, 182, 350768.9, 182, 275657.1, 182, 356133.2, 182, 409936.1, 182, 260482.9
184, 176118.7, 184, 241624.0, 184, 1147328.0, 184, 400125.1, 184, 419473.7, 184, 0.0, 184, 193498.8, 184, 362557.2, 184, 275750.3, 184, 330300.5, 184, 265195.3, 184, 350768.5, 184, 275637.2, 184, 356102.1, 184, 409931.5, 184, 260467.7
186, 176105.4, 186, 241632.5, 186, 1147332.0, 186, 400133.1, 186, 419467.2, 186, 0.0, 186, 193525.4, 186, 362561.2, 186, 275737.1, 186, 330280.3, 186, 265204.0, 186, 350737.6, 186, 275628.6, 186, 356118.8, 186, 409946.2, 186, 260475.0
188, 176100.7, 188, 241623.3, 188, 1147323.0, 188, 400105.6, 188, 419481.6, 188, 0.0, 188, 193497.1, 188, 362555.0, 188, 275732.9, 188, 330287.0, 188, 265218.1, 188, 350764.7, 188, 275641.0, 188, 356113.8, 188, 409965.5, 188, 260475.1
190, 176105.4, 190, 241632.1, 190, 1147331.0, 190, 400130.0, 190, 419468.6, 190, 0.0, 190, 193497.2, 190, 362552.6, 190, 275718.2, 190, 330290.7, 190, 265203.2, 190, 350750.6, 190, 275658.2, 190, 356117.4, 190, 409939.3, 190, 260476.1
192, 176091.3, 192, 241625.8, 192, 1147362.0, 192, 400131.3, 192, 419471.5, 192, 0.0, 192, 193488.4, 192, 362541.5, 192, 275733.9, 192, 330280.4, 192, 265185.5, 192, 350717.3, 192, 275631.3, 192, 356076.3, 192, 409963.4, 192, 260481.4
