time_1,Nylon,time_2,Nylon,time_3,Nylon,time_4,Nylon,time_5,Cellulose,time_6,Cellulose,time_7,Cellulose,time_8,Cellulose,time_9,Polyimide,time_10,Polyimide,time_11,Polyimide,time_12,Polyimide,time_13,PET,time_14,PET,time_15,PET,time_16,PET
42, 178532.2, 42, 242639.6, 42, 1151828.0, 42, 401952.1, 42, 426280.8, 42, 307346.9, 42, 199514.6, 42, 368791.7, 42, 276848.4, 42, 331107.6, 42, 266146.6, 42, 373727.2, 42, 276661.8, 42, 357303.4, 42, 411428.8, 42, 266541.8
44, 178550.3, 44, 242572.4, 44, 1151887.0, 44, 401856.0, 44, 426360.1, 44, 307299.9, 44, 199516.7, 44, 368712.7, 44, 276957.6, 44, 330998.5, 44, 266179.9, 44, 373714.4, 44, 276553.5, 44, 357375.6, 44, 411376.8, 44, 266560.3
46, 178598.5, 46, 242553.9, 46, 1151820.0, 46, 401844.5, 46, 426336.1, 46, 307256.1, 46, 199596.0, 46, 368681.2, 46, 277012.7, 46, 330955.6, 46, 266175.8, 46, 373678.0, 46, 276550.2, 46, 357349.0, 46, 411255.6, 46, 266504.5
48, 178483.9, 48, 242529.5, 48, 1151780.0, 48, 401788.1, 48, 426292.2, 48, 307252.1, 48, 199529.3, 48, 368525.5, 48, 277005.6, 48, 330908.2, 48, 266269.7, 48, 373692.1, 48, 276472.4, 48, 357306.2, 48, 411240.0, 48, 266499.9
50, 178481.9, 50, 242484.5, 50, 1151703.0, 50, 401741.2, 50, 426281.9, 50, 307293.7, 50, 199526.8, 50, 368563.0, 50, 277024.5, 50, 330880.7, 50, 266287.4, 50, 373710.6, 50, 276489.7, 50, 357349.9, 50, 411159.6, 50, 266457.0
52, 178474.4, 52, 242425.2, 52, 1151707.0, 52, 401758.6, 52, 426263.4, 52, 307252.7, 52, 199558.7, 52, 368510.4, 52, 276964.8, 52, 330842.6, 52, 266281.7, 52, 373645.1, 52, 276500.5, 52, 357353.8, 52, 411122.1, 52, 266452.8
54, 178454.0, 54, 242399.2, 54, 1151754.0, 54, 401682.5, 54, 426317.2, 54, 307276.3, 54, 199537.4, 54, 368571.9, 54, 277035.0, 54, 330884.0, 54, 266372.3, 54, 373635.4, 54, 276457.5, 54, 357334.1, 54, 411075.5, 54, 266526.0
56, 178445.7, 56, 242437.4, 56, 1151846.0, 56, 401757.5, 56, 426312.6, 56, 307297.5, 56, 199560.0, 56, 368599.2, 56, 277053.5, 56, 330864.0, 56, 266401.0, 56, 373662.1, 56, 276484.5, 56, 357384.0, 56, 411130.9, 56, 266478.3
58, 178379.2, 58, 242442.0, 58, 1151766.0, 58, 401777.6, 58, 426329.6, 58, 307410.0, 58, 199600.8, 58, 368500.7, 58, 276942.2, 58, 330895.5, 58, 266366.6, 58, 373645.8, 58, 276501.5, 58, 357420.4, 58, 411179.0, 58, 266493.8
60, 178428.7, 60, 242435.3, 60, 1151686.0, 60, 401775.6, 60, 426310.0, 60, 307340.6, 60, 199501.1, 60, 368547.1, 60, 276980.5, 60, 330860.7, 60, 266317.4, 60, 373697.4, 60, 276411.6, 60, 357348.7, 60, 411272.1, 60, 266491.9
62, 178409.7, 62, 242452.1, 62, 1151722.0, 62, 401798.6, 62, 426238.0, 62, 307331.5, 62, 199525.1, 62, 368547.8, 62, 276966.9, 62, 330890.1, 62, 266374.6, 62, 373649.5, 62, 276502.3, 62, 357325.5, 62, 411186.4, 62, 266473.7
64, 178449.5, 64, 242422.5, 64, 1151724.0, 64, 401782.8, 64, 426226.6, 64, 307276.9, 64, 199535.5, 64, 368488.4, 64, 276967.0, 64, 330831.6, 64, 266358.5, 64, 373691.5, 64, 276479.4, 64, 357359.7, 64, 411162.4, 64, 266529.9
66, 178439.8, 66, 242395.9, 66, 1151760.0, 66, 401740.5, 66, 426252.5, 66, 307320.4, 66, 199573.1, 66, 368511.0, 66, 276971.6, 66, 330838.0, 66, 266388.9, 66, 373672.3, 66, 276483.5, 66, 357354.0, 66, 411149.1, 66, 266486.5
68, 178470.1, 68, 242407.6, 68, 1151743.0, 68, 401687.7, 68, 426230.4, 68, 307253.8, 68, 199542.5, 68, 368541.8, 68, 277053.6, 68, 330855.9, 68, 266378.0, 68, 373690.5, 68, 276417.1, 68, 357435.5, 68, 411103.1, 68, 266494.7
70, 178400.3, 70, 242377.9, 70, 1151628.0, 70, 401696.3, 70, 426237.2, 70, 307336.3, 70, 199543.8, 70, 368475.2, 70, 276991.7, 70, 330827.8, 70, 266364.4, 70, 373659.6, 70, 276496.0, 70, 357391.1, 70, 411147.8, 70, 266500.0
72, 178393.7, 72, 242343.6, 72, 1151733.0, 72, 401710.5, 72, 426290.1, 72, 307266.6, 72, 199559.7, 72, 368487.9, 72, 277053.0, 72, 330792.9, 72, 266422.9, 72, 373674.4, 72, 276445.8, 72, 357389.3, 72, 411077.3, 72, 266523.1
74, 178390.9, 74, 242349.3, 74, 1151655.0, 74, 401716.0, 74, 426247.5, 74, 307279.7, 74, 199534.7, 74, 368502.3, 74, 277033.3, 74, 330779.1, 74, 266445.9, 74, 373663.6, 74, 276415.5, 74, 357351.9, 74, 411041.1, 74, 266460.1
76, 178420.6, 76, 242370.4, 76, 1151613.0, 76, 401745.7, 76, 426238.5, 76, 307289.4, 76, 199510.3, 76, 368511.4, 76, 277030.2, 76, 330793.1, 76, 266452.7, 76, 373658.5, 76, 276507.4, 76, 357394.9, 76, 411055.9, 76, 266523.5
78, 178434.9, 78, 242351.4, 78, 1151684.0, 78, 401678.3, 78, 426211.1, 78, 307242.9, 78, 199563.8, 78, 368464.7, 78, 277048.0, 78, 330793.6, 78, 266518.6, 78, 373679.0, 78, 276468.8, 78, 357412.2, 78, 411121.8, 78, 266477.9
80, 178415.4, 80, 242265.4, 80, 1151573.0, 80, 401698.5, 80, 426188.9, 80, 307323.1, 80, 199504.5, 80, 368447.6, 80, 277012.8, 80, 330824.7, 80, 266405.8, 80, 373699.9, 80, 276424.6, 80, 357366.5, 80, 411122.4, 80, 266456.7
82, 178377.9, 82, 242281.3, 82, 1151687.0, 82, 401695.6, 82, 426257.5, 82, 307237.1, 82, 199533.4, 82, 368519.5, 82, 277069.4, 82, 330807.2, 82, 266493.0, 82, 373695.0, 82, 276451.3, 82, 357381.9, 82, 411077.1, 82, 266494.9
84, 178407.9, 84, 242328.7, 84, 1151612.0, 84, 401659.3, 84, 426251.7, 84, 307253.3, 84, 199511.8, 84, 368424.9, 84, 277001.0, 84, 330857.6, 84, 266452.8, 84, 373686.1, 84, 276444.3, 84, 357431.3, 84, 411068.6, 84, 266465.1
86, 178356.7, 86, 242310.5, 86, 1151569.0, 86, 401691.8, 86, 426176.6, 86, 307307.8, 86, 199571.6, 86, 368538.2, 86, 277084.6, 86, 330813.0, 86, 266478.7, 86, 373725.7, 86, 276458.6, 86, 357397.9, 86, 411144.6, 86, 266512.5
88, 178457.6, 88, 242328.5, 88, 1151713.0, 88, 401700.2, 88, 426232.1, 88, 307309.7, 88, 199518.6, 88, 368440.6, 88, 277039.0, 88, 330952.6, 88, 266447.1, 88, 373722.0, 88, 276493.7, 88, 357416.5, 88, 411220.6, 88, 266579.0
90, 178507.5, 90, 242383.0, 90, 1151736.0, 90, 401842.8, 90, 426241.5, 90, 307389.6, 90, 199531.9, 90, 368515.3, 90, 276997.4, 90, 331075.2, 90, 266382.5, 90, 373810.4, 90, 276562.7, 90, 357450.9, 90, 411454.2, 90, 266561.7
92, 178571.2, 92, 242519.0, 92, 1151849.0, 92, 402024.9, 92, 426296.9, 92, 307456.5, 92, 199471.7, 92, 368642.4, 92, 276892.6, 92, 331271.8, 92, 266282.7, 92, 373769.4, 92, 276705.1, 92, 357304.3, 92, 411643.9, 92, 266665.0
94, 178556.3, 94, 242555.8, 94, 1151818.0, 94, 402101.1, 94, 426304.1, 94, 307400.9, 94, 199452.0, 94, 368664.1, 94, 276862.9, 94, 331341.6, 94, 266082.7, 94, 373854.1, 94, 276715.6, 94, 357233.2, 94, 411817.6, 94, 266679.2
96, 178670.0, 96, 242699.9, 96, 1151835.0, 96, 402165.7, 96, 426307.3, 96, 307387.6, 96, 199449.0, 96, 368749.7, 96, 276840.3, 96, 331356.3, 96, 265970.7, 96, 373752.9, 96, 276840.2, 96, 357178.0, 96, 411876.1, 96, 266607.4
98, 178668.1, 98, 242732.0, 98, 1151927.0, 98, 402131.2, 98, 426347.9, 98, 307252.1, 98, 199422.1, 98, 368760.5, 98, 276875.0, 98, 331247.5, 98, 265915.6, 98, 373809.9, 98, 276778.0, 98, 357159.7, 98, 411793.8, 98, 266570.2
100, 178616.1, 100, 242682.7, 100, 1151856.0, 100, 402101.4, 100, 426295.4, 100, 307274.9, 100, 199455.1, 100, 368783.4, 100, 276850.8, 100, 331262.5, 100, 265925.1, 100, 373682.2, 100, 276732.1, 100, 357187.9, 100, 411656.1, 100, 266531.5
102, 178663.3, 102, 242649.1, 102, 1151884.0, 102, 401961.8, 102, 426291.2, 102, 307209.9, 102, 199458.0, 102, 368777.6, 102, 276921.0, 102, 331143.0, 102, 265999.4, 102, 373712.8, 102, 276671.1, 102, 357160.1, 102, 411465.6, 102, 266493.9
104, 178667.6, 104, 242667.0, 104, 1151810.0, 104, 401837.1, 104, 426376.4, 104, 307123.9, 104, 199519.6, 104, 368678.7, 104, 276985.4, 104, 330987.9, 104, 266086.8, 104, 373621.4, 104, 276628.7, 104, 357255.9, 104, 411349.2, 104, 266521.3
106, 178531.5, 106, 242494.6, 106, 1151740.0, 106, 401833.4, 106, 426320.6, 106, 307132.8, 106, 199480.3, 106, 368651.4, 106, 276900.7, 106, 330977.0, 106, 266109.1, 106, 373642.2, 106, 276518.1, 106, 357323.9, 106, 411220.0, 106, 266466.4
108, 178519.7, 108, 242488.7, 108, 1151746.0, 108, 401742.6, 108, 426372.9, 108, 307208.7, 108, 199473.8, 108, 368558.5, 108, 277007.0, 108, 330898.4, 108, 266211.8, 108, 373678.1, 108, 276490.4, 108, 357325.1, 108, 411131.4, 108, 266426.6
110, 178459.3, 110, 242453.5, 110, 1151768.0, 110, 401765.8, 110, 426284.1, 110, 307169.5, 110, 199480.8, 110, 368607.9, 110, 276964.3, 110, 330925.4, 110, 266252.4, 110, 373667.4, 110, 276555.6, 110, 357271.7, 110, 411110.4, 110, 266459.7
112, 178476.8, 112, 242389.1, 112, 1151698.0, 112, 401717.1, 112, 426301.9, 112, 307161.9, 112, 199503.0, 112, 368583.5, 112, 276947.2, 112, 330872.3, 112, 266258.0, 112, 373621.4, 112, 276525.1, 112, 357323.1, 112, 411086.8, 112, 266459.6
