time 1,PLA_1, time 2,PLA_2,time 3,PLA_3, time 4,PLA_4,time 5 ,PCL_1, time 6,PCL_2,time 7,PCL_3, time 8,PCL_4,time 9 ,PBA_1, time 10,PBA_2,time 11,PBA_3, time 12,PBA_4,time 13 ,Borosilicate_1, time 14,Borosilicate_2,time 15,Cellulose_1, time 16,Cellulose_2
42, 179126.0, 42, 242839.2, 42, 1151913.0, 42, 402296.3, 42, 427205.3, 42, 308332.6, 42, 200827.1, 42, 368669.7, 42, 276860.8, 42, 330445.3, 42, 266732.4, 42, 373627.7, 42, 276306.1, 42, 357630.1, 42, 411669.1, 42, 266424.6
44, 179185.6, 44, 242795.3, 44, 1151862.0, 44, 402286.3, 44, 427216.3, 44, 308253.8, 44, 200794.3, 44, 368656.5, 44, 276798.8, 44, 330487.9, 44, 266713.5, 44, 373623.8, 44, 276318.0, 44, 357648.2, 44, 411711.6, 44, 266434.7
46, 179161.0, 46, 242847.0, 46, 1151842.0, 46, 402306.1, 46, 427129.1, 46, 308320.3, 46, 200771.3, 46, 368636.6, 46, 276783.3, 46, 330484.8, 46, 266748.6, 46, 373578.2, 46, 276297.9, 46, 357642.6, 46, 411759.6, 46, 266443.0
48, 179147.4, 48, 242834.3, 48, 1151885.0, 48, 402364.6, 48, 427187.3, 48, 308337.5, 48, 200810.6, 48, 368670.1, 48, 276776.5, 48, 330440.4, 48, 266661.2, 48, 373575.6, 48, 276343.9, 48, 357641.1, 48, 411737.2, 48, 266517.4
50, 179152.6, 50, 242871.0, 50, 1151873.0, 50, 402297.9, 50, 427138.1, 50, 308265.9, 50, 200790.1, 50, 368652.0, 50, 276722.8, 50, 330450.3, 50, 266758.5, 50, 373575.4, 50, 276325.1, 50, 357618.6, 50, 411764.9, 50, 266490.8
52, 179214.2, 52, 242873.8, 52, 1151891.0, 52, 402379.9, 52, 427108.0, 52, 308301.7, 52, 200788.5, 52, 368645.5, 52, 276749.2, 52, 330508.0, 52, 266741.3, 52, 373560.6, 52, 276286.6, 52, 357608.2, 52, 411734.3, 52, 266453.6
54, 179200.8, 54, 242830.0, 54, 1151916.0, 54, 402383.7, 54, 427155.8, 54, 308276.3, 54, 200763.3, 54, 368691.0, 54, 276733.5, 54, 330564.3, 54, 266696.3, 54, 373635.3, 54, 276397.9, 54, 357570.1, 54, 411797.4, 54, 266496.9
56, 179177.1, 56, 242890.8, 56, 1151871.0, 56, 402423.8, 56, 427115.0, 56, 308394.0, 56, 200725.1, 56, 368651.3, 56, 276679.0, 56, 330591.1, 56, 266664.1, 56, 373628.8, 56, 276306.5, 56, 357549.3, 56, 411884.6, 56, 266501.5
58, 179200.9, 58, 242911.5, 58, 1151919.0, 58, 402465.6, 58, 427134.3, 58, 308358.3, 58, 200745.2, 58, 368707.7, 58, 276659.5, 58, 330607.6, 58, 266581.3, 58, 373610.5, 58, 276328.5, 58, 357502.8, 58, 411941.3, 58, 266499.1
60, 179193.8, 60, 242908.2, 60, 1151881.0, 60, 402440.8, 60, 427149.1, 60, 308274.1, 60, 200760.5, 60, 368761.5, 60, 276693.0, 60, 330578.7, 60, 266576.6, 60, 373588.3, 60, 276328.0, 60, 357468.8, 60, 411897.9, 60, 266494.8
