time_1,Nylon_1,time_2,Nylon_2,time_3,Nylon_3,time_4,Nylon_4,time_5,Cellulose_1,time_6,Cellulose_2,time_7,Cellulose_3,time_8,Cellulose_4,time_9,Polyimide_1,time_10,Polyimide_2,time_11,Polyimide_3,time_12,Polyimide_4,time_13,PET_1,time_14,PET_2,time_15,PET_3,time_16,PET_4
44, 168042.1, 44, 232294.6, 44, 1143997.0, 44, 391477.1, 44, 415607.4, 44, 296355.8, 44, 189115.1, 44, 357869.6, 44, 273925.2, 44, 327866.7, 44, 262725.4, 44, 371163.1, 44, 275407.6, 44, 362903.2, 44, 409524.5, 44, 258084.8
46, 168023.5, 46, 232206.5, 46, 1143915.0, 46, 391493.1, 46, 415653.1, 46, 296309.7, 46, 189089.8, 46, 357841.6, 46, 273955.9, 46, 327809.9, 46, 262751.6, 46, 371165.5, 46, 275405.6, 46, 362909.6, 46, 409488.2, 46, 258070.2
48, 168096.8, 48, 232230.5, 48, 1143966.0, 48, 391450.4, 48, 415651.7, 48, 296327.9, 48, 189075.7, 48, 357876.2, 48, 273950.5, 48, 327868.9, 48, 262758.9, 48, 371111.6, 48, 275422.8, 48, 362905.8, 48, 409472.2, 48, 258063.2
50, 167947.9, 50, 232275.7, 50, 1143896.0, 50, 391472.9, 50, 415601.3, 50, 296332.5, 50, 189094.1, 50, 357795.3, 50, 273945.9, 50, 327870.1, 50, 262776.8, 50, 371128.0, 50, 275426.7, 50, 362920.4, 50, 409432.7, 50, 258061.9
52, 168009.0, 52, 232259.0, 52, 1143919.0, 52, 391459.1, 52, 415624.2, 52, 296346.4, 52, 189061.2, 52, 357804.3, 52, 273976.2, 52, 327865.4, 52, 262803.6, 52, 358785.1, 52, 275428.7, 52, 362934.6, 52, 409482.5, 52, 258065.4
54, 168011.0, 54, 232283.0, 54, 1143937.0, 54, 391555.8, 54, 415643.5, 54, 296344.6, 54, 189056.6, 54, 357813.7, 54, 273941.8, 54, 327833.7, 54, 262805.1, 54, 371163.3, 54, 275388.0, 54, 362923.4, 54, 409471.6, 54, 258041.8
56, 168016.3, 56, 232249.8, 56, 1143913.0, 56, 391473.2, 56, 415642.3, 56, 296293.5, 56, 189024.6, 56, 357831.7, 56, 273981.9, 56, 327846.9, 56, 262840.5, 56, 371108.7, 56, 275445.5, 56, 362920.4, 56, 409492.5, 56, 258052.8
58, 167992.0, 58, 232313.4, 58, 1143906.0, 58, 391488.5, 58, 415669.1, 58, 296347.3, 58, 189142.7, 58, 357852.7, 58, 273980.5, 58, 327935.0, 58, 262793.9, 58, 371164.8, 58, 275428.5, 58, 362875.6, 58, 409534.7, 58, 258082.8
60, 168006.1, 60, 232291.5, 60, 1143950.0, 60, 391507.3, 60, 415653.7, 60, 296424.2, 60, 189083.8, 60, 357788.8, 60, 273945.0, 60, 327898.0, 60, 262726.7, 60, 371170.1, 60, 275459.8, 60, 362916.3, 60, 409512.3, 60, 258100.0
62, 168044.4, 62, 232222.6, 62, 1143965.0, 62, 391523.3, 62, 415640.3, 62, 296427.0, 62, 189081.9, 62, 357892.1, 62, 273919.7, 62, 327895.3, 62, 262765.3, 62, 371168.1, 62, 275417.5, 62, 362885.5, 62, 409581.7, 62, 258107.0
64, 168088.7, 64, 232324.2, 64, 1143976.0, 64, 391535.4, 64, 415697.3, 64, 296370.9, 64, 189068.9, 64, 357857.4, 64, 273975.7, 64, 327914.3, 64, 262728.6, 64, 371152.3, 64, 275449.5, 64, 362893.0, 64, 409590.1, 64, 258124.0
66, 168048.4, 66, 232314.2, 66, 1143960.0, 66, 391478.5, 66, 415638.2, 66, 296288.6, 66, 189081.3, 66, 357797.1, 66, 273956.6, 66, 327896.3, 66, 262784.1, 66, 371135.5, 66, 275452.1, 66, 362890.5, 66, 409547.2, 66, 258064.7
68, 168028.6, 68, 232264.1, 68, 1143913.0, 68, 391501.4, 68, 415699.0, 68, 296300.5, 68, 189154.8, 68, 357844.8, 68, 273992.9, 68, 327910.4, 68, 262787.2, 68, 371123.9, 68, 275427.9, 68, 362871.6, 68, 409529.3, 68, 258034.6
70, 168032.4, 70, 232291.2, 70, 1143946.0, 70, 391489.2, 70, 415594.7, 70, 296350.4, 70, 189137.0, 70, 357876.9, 70, 273929.4, 70, 327886.8, 70, 262763.9, 70, 371127.7, 70, 275447.2, 70, 362943.5, 70, 409532.1, 70, 258074.2
72, 168041.0, 72, 232273.1, 72, 1143982.0, 72, 391521.6, 72, 415622.5, 72, 296392.8, 72, 189131.9, 72, 357841.8, 72, 273895.7, 72, 327910.0, 72, 262708.5, 72, 371079.8, 72, 275472.0, 72, 362909.5, 72, 409633.0, 72, 258078.6
74, 168065.2, 74, 232302.5, 74, 1143996.0, 74, 391582.7, 74, 415638.5, 74, 296308.7, 74, 189057.3, 74, 357858.8, 74, 273945.5, 74, 327889.6, 74, 262693.3, 74, 371123.2, 74, 275457.8, 74, 362885.2, 74, 409609.0, 74, 258090.2
76, 168018.3, 76, 232356.8, 76, 1144024.0, 76, 391508.0, 76, 415657.4, 76, 296323.0, 76, 189044.6, 76, 357911.1, 76, 273909.5, 76, 327865.5, 76, 262746.8, 76, 371144.2, 76, 275493.8, 76, 362844.5, 76, 409600.7, 76, 258089.7
78, 168031.2, 78, 232343.5, 78, 1143959.0, 78, 391479.7, 78, 415595.6, 78, 296330.4, 78, 189115.5, 78, 357879.3, 78, 273916.8, 78, 327892.9, 78, 262670.2, 78, 371078.4, 78, 275433.1, 78, 362840.7, 78, 409534.4, 78, 258093.7
80, 168007.2, 80, 232318.2, 80, 1143979.0, 80, 391483.9, 80, 415633.3, 80, 296311.6, 80, 189138.5, 80, 357898.4, 80, 273903.0, 80, 327825.5, 80, 262737.1, 80, 371079.7, 80, 275441.4, 80, 362862.1, 80, 409512.5, 80, 258074.1
82, 168026.4, 82, 232299.7, 82, 1143992.0, 82, 391490.3, 82, 415662.3, 82, 296311.1, 82, 189115.0, 82, 357888.0, 82, 273967.8, 82, 327859.4, 82, 262699.7, 82, 371071.2, 82, 275465.4, 82, 362862.1, 82, 409443.8, 82, 258062.3
84, 167967.0, 84, 232260.4, 84, 1143922.0, 84, 391430.5, 84, 415651.7, 84, 296377.0, 84, 189087.5, 84, 357880.9, 84, 273943.5, 84, 327792.4, 84, 262715.0, 84, 371120.4, 84, 275402.0, 84, 362887.7, 84, 409481.9, 84, 258115.3
86, 168010.9, 86, 232255.9, 86, 1143917.0, 86, 391514.3, 86, 415630.5, 86, 296344.9, 86, 189099.3, 86, 357853.6, 86, 273990.7, 86, 327825.7, 86, 262769.1, 86, 371102.4, 86, 275418.5, 86, 362875.9, 86, 409481.5, 86, 258076.8
88, 167981.4, 88, 232256.5, 88, 1143953.0, 88, 391461.4, 88, 415620.1, 88, 296365.2, 88, 189066.8, 88, 357864.5, 88, 273926.6, 88, 327815.8, 88, 262749.0, 88, 371140.7, 88, 275394.8, 88, 362843.9, 88, 409479.1, 88, 258072.0
90, 167992.3, 90, 232274.7, 90, 1143938.
92, 168020.1, 92, 232242.9, 92, 1143951.0, 92, 391461.3, 92, 415637.6, 92, 296370.4, 92, 189121.0, 92, 357870.8, 92, 273977.5, 92, 327885.6, 92, 262836.5, 92, 371151.0, 92, 275418.1, 92, 362953.6, 92, 409501.3, 92, 258082.5
94, 168024.1, 94, 232263.3, 94, 1143953.0, 94, 391519.7, 94, 415639.0, 94, 296319.8, 94, 189081.0, 94, 357856.8, 94, 273917.9, 94, 327890.9, 94, 262719.0, 94, 371152.9, 94, 275413.2, 94, 362895.4, 94, 409566.1, 94, 258093.8
96, 168101.5, 96, 232325.0, 96, 1144030.0, 96, 391558.2, 96, 415604.0, 96, 296349.0, 96, 189060.6, 96, 357904.2, 96, 273891.6, 96, 327954.5, 96, 262668.5, 96, 371166.0, 96, 275416.7, 96, 362898.1, 96, 409663.5, 96, 258092.3
98, 168017.8, 98, 232289.7, 98, 1143933.0, 98, 391552.2, 98, 415665.3, 98, 296372.6, 98, 189069.9, 98, 357864.6, 98, 273918.1, 98, 327965.1, 98, 262634.2, 98, 371122.3, 98, 275484.7, 98, 362839.7, 98, 409628.1, 98, 258092.2
100, 168115.9, 100, 232327.0, 100, 1144013.0, 100, 391536.0, 100, 415630.1, 100, 296356.6, 100, 189040.2, 100, 357876.2, 100, 273905.9, 100, 327903.6, 100, 262649.0, 100, 371160.6, 100, 275462.3, 100, 362881.4, 100, 409602.0, 100, 258097.7
102, 168110.3, 102, 232313.2, 102, 1144012.0, 102, 391509.2, 102, 415649.7, 102, 296361.9, 102, 189067.9, 102, 357907.5, 102, 273880.4, 102, 327994.6, 102, 262676.3, 102, 371197.9, 102, 275513.6, 102, 362882.5, 102, 409612.2, 102, 258059.6
104, 168056.3, 104, 232353.3, 104, 1144014.0, 104, 391622.5, 104, 415687.1, 104, 296361.2, 104, 189057.7, 104, 357955.5, 104, 273861.1, 104, 328045.9, 104, 262597.4, 104, 371174.5, 104, 275572.1, 104, 362884.7, 104, 409679.6, 104, 258130.8
106, 168063.9, 106, 232396.4, 106, 1144048.0, 106, 391673.1, 106, 415663.1, 106, 296408.3, 106, 189029.0, 106, 357922.0, 106, 273884.1, 106, 328074.9, 106, 262572.2, 106, 371174.0, 106, 275625.4, 106, 362858.7, 106, 409811.8, 106, 258153.3
108, 168158.9, 108, 232375.0, 108, 1144030.0, 108, 391672.3, 108, 415688.1, 108, 296384.2, 108, 189060.5, 108, 358007.2, 108, 273848.1, 108, 328050.6, 108, 262478.9, 108, 371208.6, 108, 275515.9, 108, 362819.8, 108, 409761.5, 108, 258114.4
110, 168091.0, 110, 232411.7, 110, 1144118.0, 110, 391674.5, 110, 415671.8, 110, 296297.9, 110, 189115.7, 110, 357969.1, 110, 273836.9, 110, 327982.2, 110, 262513.9, 110, 371122.1, 110, 275527.3, 110, 362760.2, 110, 409741.0, 110, 258114.0
112, 168126.4, 112, 232501.9, 112, 1144087.0, 112, 391559.8, 112, 415696.0, 112, 296292.8, 112, 189097.1, 112, 358008.8, 112, 273922.8, 112, 327983.9, 112, 262598.9, 112, 371118.4, 112, 275469.2, 112, 362795.6, 112, 409634.4, 112, 258156.4
114, 168117.9, 114, 232340.1, 114, 1144055.0, 114, 391571.4, 114, 415646.5, 114, 296303.9, 114, 189079.8, 114, 357999.5, 114, 273916.5, 114, 327964.1, 114, 262576.6, 114, 371117.0, 114, 275511.4, 114, 362815.1, 114, 409568.6, 114, 258119.7
116, 168000.4, 116, 232325.5, 116, 1144030.0, 116, 391552.0, 116, 415670.5, 116, 296262.5, 116, 189070.0, 116, 357959.4, 116, 273940.6, 116, 327888.8, 116, 262596.7, 116, 371124.9, 116, 275444.5, 116, 362800.6, 116, 409557.2, 116, 258069.2
118, 168039.0, 118, 232362.1, 118, 1144009.0, 118, 391493.3, 118, 415696.2, 118, 296260.1, 118, 189065.8, 118, 357913.3, 118, 273918.7, 118, 327886.1, 118, 262633.7, 118, 371108.3, 118, 275453.7, 118, 362796.0, 118, 409497.8, 118, 258105.5
120, 167968.7, 120, 232281.4, 120, 1144013.0, 120, 391500.7, 120, 415674.3, 120, 296257.7, 120, 189098.7, 120, 357850.3, 120, 273925.2, 120, 327862.5, 120, 262700.1, 120, 371114.3, 120, 275501.5, 120, 362883.6, 120, 409552.4, 120, 258044.0
122, 168041.8, 122, 232300.2, 122, 1143980.0, 122, 391427.7, 122, 415630.5, 122, 296262.8, 122, 189112.0, 122, 357882.2, 122, 273977.3, 122, 327852.9, 122, 262647.9, 122, 371178.7, 122, 275394.9, 122, 362881.6, 122, 409501.0, 122, 258051.7
124, 167992.0, 124, 232265.5, 124, 1143954.0, 124, 391487.7, 124, 415635.9, 124, 296322.9, 124, 189045.4, 124, 357917.3, 124, 273983.9, 124, 327832.4, 124, 262708.3, 124, 371102.2, 124, 275431.3, 124, 362903.2, 124, 409467.6, 124, 258034.9
126, 168036.9, 126, 232317.1, 126, 1143986.0, 126, 391486.7, 126, 415730.6, 126, 296336.8, 126, 189066.1, 126, 357871.9, 126, 273982.5, 126, 327871.1, 126, 262724.8, 126, 371104.4, 126, 275439.9, 126, 362868.9, 126, 409489.9, 126, 258065.9
128, 168028.1, 128, 232324.3, 128, 1144010.0, 128, 391512.4, 128, 415639.1, 128, 296299.5, 128, 189033.1, 128, 357949.8, 128, 273965.7, 128, 327981.0, 128, 262719.5, 128, 371166.2, 128, 275416.0, 128, 362973.5, 128, 409593.6, 128, 258117.3
130, 168061.8, 130, 232349.0, 130, 1143989.0, 130, 391551.5, 130, 415662.0, 130, 296387.8, 130, 189050.8, 130, 357988.8, 130, 273877.2, 130, 328005.0, 130, 262688.4, 130, 371159.0, 130, 275419.9, 130, 362913.6, 130, 409604.8, 130, 258031.1
132, 168063.0, 132, 232341.7, 132, 1144010.0, 132, 391605.4, 132, 415679.6, 132, 296405.0, 132, 189037.9, 132, 357890.9, 132, 273912.9, 132, 328051.8, 132, 262576.5, 132, 371179.4, 132, 275515.3, 132, 362844.5, 132, 409717.0, 132, 258087.3
134, 168061.7, 134, 232345.7, 134, 1143983.0, 134, 391613.2, 134, 415649.4, 134, 296367.8, 134, 189047.2, 134, 357957.7, 134, 273951.5, 134, 327991.4, 134, 262602.1, 134, 371152.2, 134, 275469.2, 134, 362810.9, 134, 409679.1, 134, 258121.0
136, 168091.4, 136, 232465.7, 136, 1144065.0, 136, 391528.6, 136, 415655.7, 136, 296288.2, 136, 189086.8, 136, 357965.8, 136, 273916.9, 136, 327932.6, 136, 262633.5, 136, 371151.9, 136, 275465.6, 136, 362846.6, 136, 409651.4, 136, 258076.7
138, 168122.3, 138, 232348.6, 138, 1144014.0, 138, 391501.5, 138, 415714.4, 138, 296328.1, 138, 189064.4, 138, 357946.1, 138, 273912.8, 138, 327915.0, 138, 262576.4, 138, 371176.4, 138, 275436.5, 138, 362877.3, 138, 409521.1, 138, 258099.7
140, 168055.6, 140, 232314.4, 140, 1143989.0, 140, 391490.7, 140, 415678.2, 140, 296296.1, 140, 189037.6, 140, 357919.7, 140, 273964.4, 140, 327870.9, 140, 262613.6, 140, 371155.7, 140, 275435.2, 140, 362816.2, 140, 409565.3, 140, 258077.7
142, 168004.8, 142, 232366.4, 142, 1144064.0, 142, 391454.3, 142, 415674.8, 142, 296327.2, 142, 189074.8, 142, 357861.4, 142, 273948.4, 142, 327863.0, 142, 262682.7, 142, 371105.8, 142, 275459.9, 142, 362836.5, 142, 409537.3, 142, 258089.5
144, 168057.1, 144, 232317.6, 144, 1143962.0, 144, 391551.4, 144, 415681.9, 144, 296388.8, 144, 189084.3, 144, 357885.6, 144, 273885.5, 144, 327884.5, 144, 262666.6, 144, 371112.7, 144, 275418.0, 144, 362889.6, 144, 409490.8, 144, 258069.4
146, 168036.0, 146, 232303.8, 146, 1144018.0, 146, 391441.7, 146, 415636.2, 146, 296338.7, 146, 189094.0, 146, 357887.3, 146, 273982.0, 146, 327846.8, 146, 262674.9, 146, 371115.0, 146, 275414.0, 146, 362911.0, 146, 409515.0, 146, 258078.9
148, 167963.1, 148, 232294.9, 148, 1143985.0, 148, 391454.7, 148, 415648.1, 148, 296276.8, 148, 189051.2, 148, 357878.9, 148, 273974.4, 148, 327859.2, 148, 262674.2, 148, 371075.9, 148, 275373.6, 148, 362886.0, 148, 409505.4, 148, 258088.0
150, 168028.9, 150, 232312.2, 150, 1143955.0, 150, 391464.3, 150, 415653.3, 150, 296347.5, 150, 189112.7, 150, 357811.4, 150, 273987.2, 150, 327853.3, 150, 262725.0, 150, 371094.8, 150, 275432.3, 150, 362884.4, 150, 409470.4, 150, 258059.0
152, 167991.7, 152, 232272.4, 152, 1143947.0, 152, 391463.9, 152, 415658.6, 152, 296409.4, 152, 189052.7, 152, 357892.7, 152, 273963.3, 152, 327894.9, 152, 262716.3, 152, 371093.7, 152, 275410.0, 152, 362813.6, 152, 409464.8, 152, 258102.0
154, 167939.7, 154, 232268.8, 154, 1143920.0, 154, 391466.6, 154, 415657.4, 154, 296271.9, 154, 189079.6, 154, 357862.1, 154, 273885.9, 154, 327871.5, 154, 262741.2, 154, 371048.1, 154, 275401.0, 154, 362890.1, 154, 409459.0, 154, 258022.6
156, 168012.8, 156, 232281.9, 156, 1143954.0, 156, 391467.9, 156, 415623.0, 156, 296287.1, 156, 189073.6, 156, 357864.5, 156, 273987.8, 156, 327875.1, 156, 262726.4, 156, 371122.9, 156, 275376.3, 156, 362836.4, 156, 409455.9, 156, 258084.9
158, 167988.7, 158, 232303.5, 158, 1143899.0, 158, 391436.9, 158, 415650.2, 158, 296325.8, 158, 189052.2, 158, 357881.5, 158, 273913.6, 158, 327838.9, 158, 262693.6, 158, 371094.2, 158, 275376.7, 158, 362889.9, 158, 409460.8, 158, 258085.9
160, 168010.4, 160, 232300.4, 160, 1143989.0, 160, 391412.7, 160, 415630.9, 160, 296325.7, 160, 189051.1, 160, 357831.4, 160, 273989.6, 160, 327801.2, 160, 262745.5, 160, 371137.0, 160, 275421.9, 160, 362823.6, 160, 409419.3, 160, 258090.9
162, 167989.1, 162, 232266.4, 162, 1143983.0, 162, 391474.5, 162, 415615.8, 162, 296304.8, 162, 189039.5, 162, 357863.5, 162, 273915.8, 162, 327905.2, 162, 262745.6, 162, 371135.1, 162, 275410.5, 162, 362925.1, 162, 409557.0, 162, 258114.0
164, 168048.7, 164, 232339.9, 164, 1144037.0, 164, 391566.4, 164, 415741.9, 164, 296327.9, 164, 189031.5, 164, 357822.6, 164, 273912.6, 164, 327972.8, 164, 262693.6, 164, 371138.5, 164, 275457.0, 164, 362958.1, 164, 409648.8, 164, 258103.8
166, 168000.1, 166, 232367.7, 166, 1144019.0, 166, 391650.2, 166, 415683.3, 166, 296381.6, 166, 189099.1, 166, 357877.2, 166, 273839.4, 166, 328053.4, 166, 262687.6, 166, 371145.8, 166, 275431.3, 166, 362804.7, 166, 409674.0, 166, 258136.0
168, 168048.7, 168, 232409.5, 168, 1144018.0, 168, 391628.2, 168, 415669.0, 168, 296352.2, 168, 189072.6, 168, 357962.8, 168, 273881.9, 168, 328016.7, 168, 262549.9, 168, 371162.2, 168, 275507.4, 168, 362834.4, 168, 409786.2, 168, 258155.6
170, 168118.1, 170, 232368.1, 170, 1144048.0, 170, 391631.2, 170, 415719.1, 170, 296388.6, 170, 189033.7, 170, 357952.7, 170, 273885.8, 170, 327998.7, 170, 262587.7, 170, 371111.5, 170, 275540.0, 170, 362727.5, 170, 409752.8, 170, 258134.0
172, 168102.0, 172, 232443.3, 172, 1144056.0, 172, 391599.2, 172, 415688.3, 172, 296349.3, 172, 189047.2, 172, 357980.4, 172, 273924.5, 172, 327946.6, 172, 262557.5, 172, 371091.9, 172, 275429.4, 172, 362824.5, 172, 409624.1, 172, 258149.7
174, 168061.2, 174, 232410.8, 174, 1144027.0, 174, 391530.9, 174, 415666.0, 174, 296281.3, 174, 189109.8, 174, 357886.9, 174, 273899.7, 174, 327925.8, 174, 262641.7, 174, 371184.9, 174, 275426.6, 174, 362798.0, 174, 409578.1, 174, 258082.4
176, 168086.2, 176, 232362.2, 176, 1143989.0, 176, 391519.6, 176, 415674.8, 176, 296270.1, 176, 189058.9, 176, 357882.2, 176, 273888.9, 176, 327878.9, 176, 262668.8, 176, 371108.1, 176, 275464.7, 176, 362818.7, 176, 409523.9, 176, 258139.3
178, 168027.9, 178, 232325.7, 178, 1143987.0, 178, 391445.1, 178, 415714.4, 178, 296285.3, 178, 189078.7, 178, 357901.2, 178, 273960.8, 178, 327857.1, 178, 262701.3, 178, 371135.9, 178, 275418.4, 178, 362854.1, 178, 409500.2, 178, 258076.5
180, 167999.9, 180, 232336.0, 180, 1143950.0, 180, 391431.9, 180, 415638.6, 180, 296301.6, 180, 189083.6, 180, 357956.3, 180, 273968.0, 180, 327891.7, 180, 262614.4, 180, 371154.2, 180, 275359.7, 180, 362890.5, 180, 409414.0, 180, 258054.6
182, 168024.8, 182, 232298.5, 182, 1143947.0, 182, 391463.3, 182, 415709.0, 182, 296295.2, 182, 189083.3, 182, 357921.4, 182, 273951.6, 182, 327867.9, 182, 262734.5, 182, 371142.6, 182, 275372.3, 182, 362810.1, 182, 409524.8, 182, 258041.4
184, 168043.3, 184, 232277.3, 184, 1143952.0, 184, 391432.0, 184, 415649.7, 184, 296346.0, 184, 189065.5, 184, 357864.0, 184, 273918.7, 184, 327891.4, 184, 262701.7, 184, 371149.4, 184, 275383.5, 184, 362847.2, 184, 409411.2, 184, 258065.3
186, 168007.2, 186, 232253.3, 186, 1143901.0, 186, 391472.3, 186, 415636.3, 186, 296349.2, 186, 189103.2, 186, 357870.1, 186, 273954.6, 186, 327840.9, 186, 262765.7, 186, 371133.9, 186, 275430.7, 186, 362855.7, 186, 409479.9, 186, 258084.6
188, 168059.5, 188, 232293.0, 188, 1143994.0, 188, 391499.2, 188, 415750.8, 188, 296270.0, 188, 189070.6, 188, 357900.3, 188, 273938.4, 188, 327947.2, 188, 262768.4, 188, 371122.0, 188, 275428.7, 188, 362850.7, 188, 409608.2, 188, 258083.7
