time_1,Nylon_1,time_2,Nylon_2,time_3,Nylon_3,time_4,Nylon_4,time_5,Cellulose_1,time_6,Cellulose_2,time_7,Cellulose_3,time_8,Cellulose_4,time_9,Polyimide_1,time_10,Polyimide_2,time_11,Polyimide_3,time_12,Polyimide_4,time_13,PET_1,time_14,PET_2,time_15,PET_3,time_16,PET_4
0, 168147.7, 0, 232405.2, 0, 1144056.0, 0, 391631.9, 0, 415664.0, 0, 296360.6, 0, 189089.8, 0, 357963.9, 0, 273963.0, 0, 328007.0, 0, 262617.4, 0, 371134.3, 0, 275526.9, 0, 362943.7, 0, 409715.7, 0, 258104.8
2, 168093.7, 2, 232395.5, 2, 1144081.0, 2, 391687.4, 2, 415730.6, 2, 296324.2, 2, 189113.6, 2, 357923.8, 2, 273895.1, 2, 328011.0, 2, 262651.2, 2, 371122.8, 2, 275498.9, 2, 362915.2, 2, 409699.8, 2, 258046.8
4, 168100.6, 4, 232374.1, 4, 1143986.0, 4, 391582.4, 4, 415687.2, 4, 296313.2, 4, 189096.3, 4, 357940.6, 4, 273970.7, 4, 328010.6, 4, 262586.8, 4, 371027.0, 4, 275482.0, 4, 362897.8, 4, 409647.1, 4, 258056.0
6, 168083.2, 6, 232396.2, 6, 1143995.0, 6, 391598.6, 6, 415630.7, 6, 296369.1, 6, 189097.0, 6, 357964.6, 6, 273965.4, 6, 327954.0, 6, 262662.8, 6, 371093.2, 6, 275515.4, 6, 362886.9, 6, 409635.7, 6, 258053.3
8, 168101.8, 8, 232350.3, 8, 1144058.0, 8, 391587.0, 8, 415668.2, 8, 296273.8, 8, 189132.7, 8, 357909.1, 8, 273947.2, 8, 327942.1, 8, 262687.7, 8, 371084.0, 8, 275477.1, 8, 362891.0, 8, 409668.4, 8, 258074.7
10, 168045.6, 10, 232334.8, 10, 1144011.0, 10, 391568.7, 10, 415696.1, 10, 296324.6, 10, 189081.6, 10, 357931.1, 10, 273925.5, 10, 327858.3, 10, 262652.1, 10, 371150.1, 10, 275444.7, 10, 362897.3, 10, 409618.8, 10, 258085.3
12, 168070.9, 12, 232378.8, 12, 1144018.0, 12, 391605.9, 12, 415665.0, 12, 296318.4, 12, 189094.2, 12, 357913.8, 12, 273992.3, 12, 327914.3, 12, 262687.8, 12, 371093.7, 12, 275447.9, 12, 362908.1, 12, 409537.3, 12, 258105.0
14, 168051.8, 14, 232340.5, 14, 1144001.0, 14, 391521.1, 14, 415667.9, 14, 296281.3, 14, 189074.9, 14, 357928.5, 14, 273978.5, 14, 327856.1, 14, 262743.4, 14, 371060.5, 14, 275415.9, 14, 362922.2, 14, 409559.1, 14, 258066.5
16, 168046.1, 16, 232290.3, 16, 1143973.0, 16, 391506.2, 16, 415671.2, 16, 296296.6, 16, 189077.0, 16, 357891.5, 16, 273923.9, 16, 327871.6, 16, 262717.0, 16, 371095.4, 16, 275362.0, 16, 362934.6, 16, 409481.1, 16, 258040.0
18, 168065.9, 18, 232323.3, 18, 1143981.0, 18, 391512.9, 18, 415698.9, 18, 296281.5, 18, 189070.4, 18, 357870.9, 18, 273962.7, 18, 327919.7, 18, 262773.5, 18, 371163.7, 18, 275429.4, 18, 362884.1, 18, 409470.9, 18, 258116.7
20, 168098.4, 20, 232300.2, 20, 1143971.0, 20, 391536.4, 20, 415683.0, 20, 296286.6, 20, 189093.2, 20, 357906.4, 20, 273937.0, 20, 327860.2, 20, 262722.8, 20, 371140.3, 20, 275410.7, 20, 362950.3, 20, 409497.7, 20, 258016.4
22, 168060.4, 22, 232340.2, 22, 1143964.0, 22, 391574.6, 22, 415627.6, 22, 296317.1, 22, 189081.9, 22, 357904.3, 22, 273992.1, 22, 327895.5, 22, 262743.1, 22, 371140.9, 22, 275433.9, 22, 362875.0, 22, 409473.9, 22, 258051.2
24, 168037.4, 24, 232266.8, 24, 1144059.0, 24, 391560.0, 24, 415649.4, 24, 296327.3, 24, 189097.8, 24, 357874.8, 24, 273982.4, 24, 327829.3, 24, 262725.6, 24, 371146.8, 24, 275390.3, 24, 362938.9, 24, 409555.0, 24, 258093.6
26, 168057.3, 26, 232294.0, 26, 1143906.0, 26, 391484.0, 26, 415649.3, 26, 296332.6, 26, 189129.8, 26, 357857.6, 26, 273969.6, 26, 327811.9, 26, 262712.6, 26, 371134.1, 26, 275413.7, 26, 362890.2, 26, 409469.0, 26, 258104.0
28, 168034.0, 28, 232279.2, 28, 1143935.0, 28, 391517.9, 28, 415635.8, 28, 296267.9, 28, 189136.7, 28, 357853.6, 28, 273946.8, 28, 327836.2, 28, 262775.4, 28, 371115.3, 28, 275467.3, 28, 362908.1, 28, 409495.6, 28, 258045.4
30, 168080.1, 30, 232335.9, 30, 1143950.0, 30, 391463.1, 30, 415651.5, 30, 296291.6, 30, 189067.8, 30, 357822.9, 30, 273945.3, 30, 327870.9, 30, 262723.0, 30, 371138.5, 30, 275367.9, 30, 362890.8, 30, 409462.5, 30, 258093.0
32, 168099.7, 32, 232276.0, 32, 1143925.0, 32, 391517.2, 32, 415619.3, 32, 296263.7, 32, 189105.0, 32, 357886.6, 32, 273947.3, 32, 327794.5, 32, 262757.2, 32, 371165.3, 32, 275357.4, 32, 362919.7, 32, 409508.8, 32, 258132.0
34, 168056.0, 34, 232265.9, 34, 1143930.0, 34, 391490.0, 34, 415621.9, 34, 296303.5, 34, 189105.3, 34, 357862.4, 34, 273917.9, 34, 327877.1, 34, 262783.2, 34, 371086.8, 34, 275390.0, 34, 362903.3, 34, 409491.3, 34, 258045.8
36, 168001.9, 36, 232242.5, 36, 1143934.0, 36, 391440.3, 36, 415664.8, 36, 296350.5, 36, 189106.2, 36, 357856.5, 36, 273994.8, 36, 327882.4, 36, 262789.5, 36, 371140.1, 36, 275392.4, 36, 362942.9, 36, 409447.1, 36, 258102.8
38, 168040.8, 38, 232300.8, 38, 1143951.0, 38, 391465.1, 38, 415643.6, 38, 296324.2, 38, 189139.1, 38, 357872.1, 38, 273918.2, 38, 327811.5, 38, 262770.1, 38, 371179.9, 38, 275444.3, 38, 362929.0, 38, 409591.4, 38, 258108.3
40, 168056.3, 40, 232220.6, 40, 1143942.0, 40, 391451.1, 40, 415591.6, 40, 296332.1, 40, 189068.8, 40, 357849.2, 40, 273966.0, 40, 327852.9, 40, 262742.3, 40, 371095.5, 40, 275387.2, 40, 362908.5, 40, 409473.4, 40, 258033.9
42, 168027.8, 42, 232292.4, 42, 1143922.0, 42, 391466.8, 42, 415584.0, 42, 296317.6, 42, 189025.2, 42, 357840.5, 42, 273936.4, 42, 327913.3, 42, 262774.5, 42, 371167.7, 42, 275428.7, 42, 362905.9, 42, 409522.8, 42, 258085.8
