time_1,Nylon_1,time_2,Nylon_2,time_3,Nylon_3,time_4,Nylon_4,time_5,Cellulose_1,time_6,Cellulose_2,time_7,Cellulose_3,time_8,Cellulose_4,time_9,Polyimide_1,time_10,Polyimide_2,time_11,Polyimide_3,time_12,Polyimide_4,time_13,PET_1,time_14,PET_2,time_15,PET_3,time_16,PET_4
46, 168255.8, 46, 232445.1, 46, 1144128.0, 46, 391798.3, 46, 415700.3, 46, 296276.1, 46, 188990.9, 46, 357820.8, 46, 274037.3, 46, 327909.4, 46, 262776.0, 46, 371158.8, 46, 275385.8, 46, 362911.7, 46, 409405.1, 46, 258164.4
48, 168255.4, 48, 232450.5, 48, 1144218.0, 48, 391711.5, 48, 415690.1, 48, 296299.0, 48, 189026.3, 48, 357858.6, 48, 274019.7, 48, 327941.4, 48, 262827.3, 48, 371161.1, 48, 275406.4, 48, 362904.0, 48, 409375.2, 48, 258098.0
50, 168328.8, 50, 232483.5, 50, 1144214.0, 50, 391718.0, 50, 415724.7, 50, 296359.3, 50, 189039.0, 50, 357893.5, 50, 274037.1, 50, 327943.5, 50, 262855.5, 50, 371229.2, 50, 275353.7, 50, 362891.6, 50, 409483.3, 50, 258149.3
52, 168308.3, 52, 232457.3, 52, 1144179.0, 52, 391753.6, 52, 415631.1, 52, 296369.2, 52, 189008.2, 52, 357840.2, 52, 273975.3, 52, 327937.5, 52, 262754.4, 52, 371169.9, 52, 275447.8, 52, 362919.6, 52, 409444.1, 52, 258138.3
54, 168240.0, 54, 232440.2, 54, 1144204.0, 54, 391781.4, 54, 415690.8, 54, 296319.4, 54, 188995.7, 54, 357882.9, 54, 274026.2, 54, 327951.4, 54, 262781.5, 54, 371171.1, 54, 275382.8, 54, 362870.1, 54, 409502.2, 54, 258127.2
56, 168278.2, 56, 232530.4, 56, 1144227.0, 56, 391774.1, 56, 415671.2, 56, 296305.5, 56, 189039.9, 56, 357870.4, 56, 274022.0, 56, 327941.7, 56, 262762.1, 56, 371160.5, 56, 275444.1, 56, 362860.3, 56, 409480.7, 56, 258115.8
58, 168330.6, 58, 232450.5, 58, 1144202.0, 58, 391756.4, 58, 415692.9, 58, 296324.8, 58, 188987.0, 58, 357829.5, 58, 273987.3, 58, 327929.9, 58, 262748.6, 58, 371168.1, 58, 275392.4, 58, 362876.3, 58, 409478.6, 58, 258083.6
60, 168260.5, 60, 232390.4, 60, 1144166.0, 60, 391722.0, 60, 415667.9, 60, 296321.1, 60, 188994.4, 60, 357890.9, 60, 274084.2, 60, 327855.6, 60, 262796.4, 60, 371158.9, 60, 275398.9, 60, 362883.2, 60, 409456.6, 60, 258151.9
62, 168327.8, 62, 232464.7, 62, 1144198.0, 62, 391731.7, 62, 415697.4, 62, 296254.6, 62, 189073.4, 62, 357819.2, 62, 273989.0, 62, 327899.1, 62, 262794.3, 62, 371213.4, 62, 275400.5, 62, 362901.2, 62, 409452.6, 62, 258135.8
64, 168226.3, 64, 232463.2, 64, 1144235.0, 64, 391803.4, 64, 415683.5, 64, 296281.6, 64, 188979.7, 64, 357803.4, 64, 273929.5, 64, 327934.6, 64, 262793.9, 64, 371161.9, 64, 275404.9, 64, 362894.1, 64, 409466.8, 64, 258154.8
66, 168231.4, 66, 232454.2, 66, 1144158.0, 66, 391761.7, 66, 415671.6, 66, 296292.8, 66, 189107.0, 66, 357822.1, 66, 273950.1, 66, 327910.5, 66, 262833.1, 66, 371165.9, 66, 275414.2, 66, 362885.1, 66, 409496.6, 66, 258176.2
68, 168303.6, 68, 232470.7, 68, 1144220.0, 68, 391739.5, 68, 415706.0, 68, 296336.0, 68, 189022.8, 68, 357769.4, 68, 274006.3, 68, 327886.9, 68, 262818.6, 68, 371150.6, 68, 275381.0, 68, 362880.7, 68, 409447.8, 68, 258105.1
70, 168213.0, 70, 232453.2, 70, 1144132.0, 70, 391741.1, 70, 415691.7, 70, 296324.0, 70, 189041.0, 70, 357829.4, 70, 273976.3, 70, 327911.2, 70, 262829.0, 70, 371165.7, 70, 275404.4, 70, 362890.4, 70, 409461.9, 70, 258116.8
72, 168218.9, 72, 232433.5, 72, 1144172.0, 72, 391760.4, 72, 415725.7, 72, 296333.1, 72, 189061.9, 72, 357822.3, 72, 274049.2, 72, 327931.5, 72, 262832.6, 72, 371135.1, 72, 275443.8, 72, 362929.9, 72, 409435.7, 72, 258139.9
74, 168235.1, 74, 232499.7, 74, 1144174.0, 74, 391725.4, 74, 415675.9, 74, 296301.0, 74, 189076.1, 74, 357794.6, 74, 273991.8, 74, 327893.6, 74, 262829.6, 74, 371138.4, 74, 275371.6, 74, 362894.1, 74, 409446.5, 74, 258132.4
76, 168241.1, 76, 232463.9, 76, 1144187.0, 76, 391760.6, 76, 415692.6, 76, 296291.0, 76, 189063.5, 76, 357816.9, 76, 274017.3, 76, 327903.5, 76, 262829.1, 76, 371152.2, 76, 275404.0, 76, 362904.6, 76, 409481.5, 76, 258079.9
78, 168230.5, 78, 232417.8, 78, 1144177.0, 78, 391729.0, 78, 415652.3, 78, 296329.3, 78, 189064.6, 78, 357815.9, 78, 273981.2, 78, 327880.3, 78, 262825.5, 78, 371134.8, 78, 275426.6, 78, 362903.1, 78, 409418.8, 78, 258125.0
80, 168270.7, 80, 232411.9, 80, 1144126.0, 80, 391687.6, 80, 415634.5, 80, 296339.7, 80, 189038.2, 80, 357824.2, 80, 273999.5, 80, 327827.3, 80, 262847.6, 80, 371137.3, 80, 275382.4, 80, 362884.0, 80, 409488.3, 80, 258099.2
82, 168275.6, 82, 232450.3, 82, 1144175.0, 82, 391726.0, 82, 415602.9, 82, 296314.0, 82, 189103.4, 82, 357800.9, 82, 274090.2, 82, 327902.0, 82, 262934.2, 82, 371120.8, 82, 275410.5, 82, 362967.1, 82, 409510.6, 82, 258171.0
84, 168233.6, 84, 232460.8, 84, 1144167.0, 84, 391749.3, 84, 415634.3, 84, 296378.3, 84, 189041.8, 84, 357852.0, 84, 274004.1, 84, 327985.1, 84, 262884.1, 84, 371170.3, 84, 275462.5, 84, 362922.1, 84, 409556.2, 84, 258178.2
86, 168331.4, 86, 232447.7, 86, 1144221.0, 86, 391823.0, 86, 415677.5, 86, 296454.9, 86, 189071.0, 86, 357854.8, 86, 273973.6, 86, 328044.4, 86, 262800.4, 86, 371272.4, 86, 275470.7, 86, 362885.7, 86, 409617.6, 86, 258184.0
88, 168293.0, 88, 232530.2, 88, 1144245.0, 88, 391889.7, 88, 415636.6, 88, 296375.6, 88, 189035.7, 88, 357900.0, 88, 273969.1, 88, 328074.2, 88, 262729.9, 88, 371159.0, 88, 275506.7, 88, 362857.8, 88, 409666.1, 88, 258225.0
90, 168305.7, 90, 232479.5, 90, 1144227.0, 90, 391890.1, 90, 415701.2, 90, 296350.9, 90, 189049.0, 90, 357860.1, 90, 273938.4, 90, 327997.3, 90, 262699.8, 90, 371175.8, 90, 275499.1, 90, 362832.4, 90, 409652.5, 90, 258119.2
92, 168323.4, 92, 232504.0, 92, 1144240.0, 92, 391837.5, 92, 415673.4, 92, 296321.4, 92, 189036.4, 92, 357925.0, 92, 274034.3, 92, 328013.4, 92, 262720.3, 92, 371168.6, 92, 275479.9, 92, 362836.1, 92, 409647.8, 92, 258160.0
94, 168310.7, 94, 232526.9, 94, 1144172.0, 94, 391794.1, 94, 415669.3, 94, 296334.3, 94, 189075.1, 94, 357893.0, 94, 274016.2, 94, 327929.8, 94, 262785.4, 94, 371171.2, 94, 275466.6, 94, 362829.3, 94, 409532.0, 94, 258129.5
96, 168251.1, 96, 232461.0, 96, 1144191.0, 96, 391716.7, 96, 415679.8, 96, 296354.1, 96, 189080.1, 96, 357809.1, 96, 274021.5, 96, 327911.7, 96, 262737.7, 96, 371155.9, 96, 275438.8, 96, 362902.1, 96, 409578.9, 96, 258120.3
98, 168327.5, 98, 232512.5, 98, 1144203.0, 98, 391674.5, 98, 415637.0, 98, 296286.5, 98, 189125.2, 98, 357866.5, 98, 274029.3, 98, 327920.4, 98, 262724.1, 98, 371178.7, 98, 275475.7, 98, 362914.5, 98, 409506.5, 98, 258107.1
100, 168292.4, 100, 232418.1, 100, 1144163.0, 100, 391715.9, 100, 415630.2, 100, 296346.3, 100, 189038.1, 100, 357822.6, 100, 273968.9, 100, 327916.1, 100, 262852.2, 100, 371168.7, 100, 275397.8, 100, 362959.8, 100, 409521.7, 100, 258090.6
102, 168209.3, 102, 232485.7, 102, 1144120.0, 102, 391734.2, 102, 415658.7, 102, 296286.1, 102, 189061.8, 102, 357869.3, 102, 274078.4, 102, 327909.0, 102, 262806.8, 102, 371149.1, 102, 275429.9, 102, 362896.3, 102, 409473.8, 102, 258120.7
104, 168303.9, 104, 232404.1, 104, 1144134.0, 104, 391707.4, 104, 415658.1, 104, 296263.4, 104, 189040.5, 104, 357790.6, 104, 274011.9, 104, 327933.8, 104, 262834.8, 104, 371166.4, 104, 275360.7, 104, 362925.3, 104, 409526.6, 104, 258073.0
106, 168235.5, 106, 232439.3, 106, 1144132.0, 106, 391704.9, 106, 415663.7, 106, 296344.6, 106, 189111.0, 106, 357855.4, 106, 274025.0, 106, 327861.5, 106, 262858.0, 106, 371125.3, 106, 275381.9, 106, 362904.6, 106, 409432.3, 106, 258103.6
108, 168307.1, 108, 232414.1, 108, 1144150.0, 108, 391710.1, 108, 415653.9, 108, 296282.1, 108, 189059.3, 108, 357833.3, 108, 273963.8, 108, 327924.2, 108, 262862.3, 108, 371188.6, 108, 275474.1, 108, 362941.3, 108, 409519.9, 108, 258129.7
110, 168258.6, 110, 232424.9, 110, 1144138.0, 110, 391722.0, 110, 415699.7, 110, 296367.2, 110, 189075.4, 110, 357808.5, 110, 273975.1, 110, 327913.3, 110, 262770.8, 110, 371138.5, 110, 275432.4, 110, 362919.7, 110, 409518.4, 110, 258138.3
112, 168275.1, 112, 232437.0, 112, 1144138.0, 112, 391743.0, 112, 415591.9, 112, 296300.9, 112, 189020.7, 112, 357851.6, 112, 274054.7, 112, 327944.0, 112, 262818.0, 112, 371134.2, 112, 275403.2, 112, 362906.9, 112, 409526.2, 112, 258164.7
114, 168289.8, 114, 232393.8, 114, 1144196.0, 114, 391752.2, 114, 415647.3, 114, 296310.0, 114, 189105.1, 114, 357892.6, 114, 273978.5, 114, 327962.9, 114, 262863.6, 114, 371158.7, 114, 275476.1, 114, 362964.8, 114, 409552.1, 114, 258128.5
116, 168244.9, 116, 232433.6, 116, 1144243.0, 116, 391751.1, 116, 415699.5, 116, 296370.0, 116, 189135.0, 116, 357857.8, 116, 273917.7, 116, 328086.7, 116, 262818.5, 116, 371176.5, 116, 275501.0, 116, 362938.7, 116, 409652.6, 116, 258194.2
118, 168299.7, 118, 232509.8, 118, 1144246.0, 118, 391889.7, 118, 415661.3, 118, 296405.1, 118, 189039.1, 118, 357823.3, 118, 273939.2, 118, 328162.4, 118, 262766.4, 118, 371180.5, 118, 275538.5, 118, 362835.9, 118, 409854.9, 118, 258235.4
120, 168350.8, 120, 232631.9, 120, 1144306.0, 120, 391943.9, 120, 415732.0, 120, 296372.6, 120, 189064.9, 120, 357983.5, 120, 273950.2, 120, 328232.6, 120, 262659.3, 120, 371181.9, 120, 275635.5, 120, 362843.8, 120, 409927.5, 120, 258217.6
122, 168438.2, 122, 232681.1, 122, 1144338.0, 122, 392110.2, 122, 415794.8, 122, 296409.4, 122, 189005.8, 122, 358022.5, 122, 273927.0, 122, 328290.8, 122, 262533.1, 122, 371205.4, 122, 275700.9, 122, 362819.0, 122, 409959.7, 122, 258231.0
124, 168398.5, 124, 232740.0, 124, 1144336.0, 124, 392113.2, 124, 415757.9, 124, 296419.0, 124, 189014.4, 124, 358081.9, 124, 273839.6, 124, 328324.0, 124, 262461.4, 124, 371181.7, 124, 275625.6, 124, 362782.5, 124, 410030.1, 124, 258245.7
126, 168444.1, 126, 232709.4, 126, 1144346.0, 126, 392057.5, 126, 415771.6, 126, 296343.2, 126, 189030.3, 126, 358109.1, 126, 273898.4, 126, 328250.9, 126, 262454.5, 126, 371166.5, 126, 275658.5, 126, 362747.9, 126, 409953.5, 126, 258186.5
128, 168447.2, 128, 232736.6, 128, 1144327.0, 128, 391941.0, 128, 415747.2, 128, 296308.1, 128, 189034.9, 128, 358025.4, 128, 273896.1, 128, 328177.1, 128, 262519.1, 128, 371127.9, 128, 275610.4, 128, 362729.8, 128, 409850.9, 128, 258190.8
130, 168432.6, 130, 232708.0, 130, 1144288.0, 130, 391878.9, 130, 415806.8, 130, 296208.5, 130, 189023.4, 130, 358077.9, 130, 273985.6, 130, 328087.6, 130, 262573.9, 130, 371120.1, 130, 275569.6, 130, 362819.2, 130, 409656.7, 130, 258136.2
132, 168371.5, 132, 232638.8, 132, 1144304.0, 132, 391843.3, 132, 415799.2, 132, 296157.7, 132, 189020.0, 132, 358018.9, 132, 273934.6, 132, 327979.1, 132, 262638.8, 132, 371172.8, 132, 275552.3, 132, 362803.2, 132, 409590.7, 132, 258144.4
134, 168351.4, 134, 232580.8, 134, 1144233.0, 134, 391836.9, 134, 415747.4, 134, 296233.7, 134, 189060.1, 134, 357945.3, 134, 273996.9, 134, 327967.5, 134, 262688.0, 134, 371159.0, 134, 275476.4, 134, 362792.5, 134, 409523.1, 134, 258090.7
136, 168333.2, 136, 232589.9, 136, 1144263.0, 136, 391790.2, 136, 415738.1, 136, 296253.6, 136, 189057.0, 136, 357949.2, 136, 273993.1, 136, 327993.9, 136, 262675.2, 136, 371157.6, 136, 275499.4, 136, 362873.8, 136, 409400.6, 136, 258130.3
138, 168265.6, 138, 232455.1, 138, 1144168.0, 138, 391781.2, 138, 415722.3, 138, 296194.1, 138, 189077.4, 138, 357895.8, 138, 274008.0, 138, 327926.6, 138, 262718.1, 138, 371141.0, 138, 275506.5, 138, 362860.4, 138, 409427.3, 138, 258120.2
140, 168309.2, 140, 232519.6, 140, 1144221.0, 140, 391780.7, 140, 415741.9, 140, 296276.8, 140, 189035.8, 140, 357870.1, 140, 274009.7, 140, 327920.4, 140, 262698.1, 140, 371151.5, 140, 275425.3, 140, 362924.6, 140, 409510.6, 140, 258136.6
142, 168313.7, 142, 232444.0, 142, 1144196.0, 142, 391697.0, 142, 415722.0, 142, 296269.3, 142, 189020.9, 142, 357852.4, 142, 273969.0, 142, 327894.6, 142, 262739.8, 142, 371151.9, 142, 275427.4, 142, 362827.3, 142, 409452.2, 142, 258105.4
144, 168272.8, 144, 232482.3, 144, 1144138.0, 144, 391711.9, 144, 415756.0, 144, 296218.2, 144, 189067.0, 144, 357839.2, 144, 274088.7, 144, 327884.1, 144, 262860.6, 144, 371115.9, 144, 275454.0, 144, 362898.4, 144, 409435.9, 144, 258110.1
146, 168318.9, 146, 232423.5, 146, 1144183.0, 146, 391708.5, 146, 415749.1, 146, 296276.6, 146, 189026.0, 146, 357875.6, 146, 274012.4, 146, 327967.3, 146, 262795.8, 146, 371082.5, 146, 275415.2, 146, 362970.4, 146, 409487.7, 146, 258148.5
