time 1,Aluminum_1, time 2,Aluminum_2,time 3,Aluminum_3, time 4,Aluminum_4,time 5 ,Aluminum_5, time 6,Aluminum_6,time 7,Aluminum_7, time 8,Aluminum_8,time 9 ,Aluminum_9, time 10,Aluminum_10,time 11,Aluminum_11, time 12,Aluminum_12,time 13 ,Aluminum_13, time 14,Aluminum_14,time 15,Aluminum_15, time 16,Aluminum_16
0, 178182.7, 0, 241911.0, 0, 1148809.0, 0, 401448.5, 0, 419847.2, 0, 307742.4, 0, 193922.6, 0, 363140.7, 0, 276215.6, 0, 330016.6, 0, 265992.3, 0, 373129.2, 0, 275466.7, 0, 357391.7, 0, 409812.1, 0, 259744.3
2, 178033.7, 2, 241639.9, 2, 1148593.0, 2, 401154.0, 2, 419765.2, 2, 307627.4, 2, 193790.7, 2, 362888.1, 2, 276080.9, 2, 330002.0, 2, 265938.4, 2, 372964.8, 2, 275435.1, 2, 357154.1, 2, 409907.5, 2, 259704.5
4, 177905.1, 4, 241478.4, 4, 1148569.0, 4, 401014.9, 4, 419698.5, 4, 307605.0, 4, 193736.6, 4, 362723.5, 4, 275998.1, 4, 329945.2, 4, 265892.4, 4, 372889.5, 4, 275507.0, 4, 357003.6, 4, 410109.7, 4, 259615.3
6, 177840.7, 6, 241396.3, 6, 1148639.0, 6, 400969.7, 6, 419671.9, 6, 307632.0, 6, 193789.3, 6, 362713.4, 6, 275974.4, 6, 329911.5, 6, 265890.3, 6, 372849.2, 6, 275584.1, 6, 356963.2, 6, 410317.5, 6, 259581.3
8, 177841.8, 8, 241384.5, 8, 1148713.0, 8, 400925.4, 8, 419669.7, 8, 307659.4, 8, 193824.5, 8, 362724.1, 8, 275964.7, 8, 329870.9, 8, 265875.8, 8, 372822.0, 8, 275593.0, 8, 356951.1, 8, 410445.2, 8, 259609.9
10, 177833.1, 10, 241357.8, 10, 1148707.0, 10, 400946.0, 10, 419680.2, 10, 307714.7, 10, 193849.6, 10, 362745.0, 10, 275971.4, 10, 329752.2, 10, 265890.1, 10, 372845.4, 10, 275638.0, 10, 356993.7, 10, 410522.9, 10, 259622.3
12, 177811.0, 12, 241291.5, 12, 1148735.0, 12, 400888.9, 12, 419699.7, 12, 307669.5, 12, 193867.9, 12, 362708.2, 12, 275969.4, 12, 329778.7, 12, 265888.4, 12, 372994.4, 12, 275652.1, 12, 357010.7, 12, 410631.7, 12, 259573.8
14, 177757.8, 14, 241241.3, 14, 1148668.0, 14, 400858.5, 14, 419646.3, 14, 307678.6, 14, 193879.4, 14, 362677.7, 14, 275957.5, 14, 329771.2, 14, 265879.1, 14, 372911.7, 14, 275692.9, 14, 356967.3, 14, 410697.7, 14, 259551.5
16, 177773.1, 16, 241231.2, 16, 1148705.0, 16, 400861.5, 16, 419672.7, 16, 307686.9, 16, 193893.9, 16, 362653.5, 16, 275987.8, 16, 329746.2, 16, 265891.5, 16, 372844.3, 16, 275701.0, 16, 356981.9, 16, 410732.0, 16, 259566.5
18, 177792.9, 18, 241218.1, 18, 1148690.0, 18, 400858.2, 18, 419703.2, 18, 307721.9, 18, 193899.5, 18, 362637.9, 18, 275953.4, 18, 329731.2, 18, 265885.3, 18, 372877.2, 18, 275662.6, 18, 356981.8, 18, 410759.4, 18, 259536.6
20, 177723.8, 20, 241136.3, 20, 1148611.0, 20, 400822.9, 20, 419639.8, 20, 307726.0, 20, 193891.3, 20, 362625.0, 20, 275932.0, 20, 329735.0, 20, 265910.9, 20, 372903.5, 20, 275698.6, 20, 356957.1, 20, 410793.9, 20, 259528.5
22, 177760.9, 22, 241194.6, 22, 1148705.0, 22, 400807.4, 22, 419631.9, 22, 307735.2, 22, 193922.2, 22, 362648.4, 22, 275981.0, 22, 329705.7, 22, 265888.9, 22, 372963.1, 22, 275704.3, 22, 356977.2, 22, 410785.2, 22, 259519.5
24, 177724.6, 24, 241155.4, 24, 1148652.0, 24, 400833.1, 24, 419662.0, 24, 307707.4, 24, 193942.1, 24, 362593.5, 24, 275951.3, 24, 329693.0, 24, 265871.9, 24, 372969.5, 24, 275670.6, 24, 356979.2, 24, 410783.9, 24, 259547.2
26, 177716.5, 26, 241183.5, 26, 1148686.0, 26, 400815.2, 26, 419626.9, 26, 307741.7, 26, 193912.3, 26, 362605.0, 26, 275954.2, 26, 329698.2, 26, 265869.3, 26, 372955.2, 26, 275694.9, 26, 356987.1, 26, 410821.5, 26, 259528.5
28, 177688.0, 28, 241139.4, 28, 1148686.0, 28, 400778.7, 28, 419653.3, 28, 307776.3, 28, 193922.8, 28, 362602.7, 28, 275900.2, 28, 329682.3, 28, 265804.2, 28, 372951.5, 28, 275727.2, 28, 356938.2, 28, 410838.3, 28, 259527.5
30, 177665.9, 30, 241113.2, 30, 1148710.0, 30, 400852.3, 30, 419622.2, 30, 307757.6, 30, 193912.0, 30, 362582.3, 30, 275922.7, 30, 329700.8, 30, 265840.6, 30, 372896.4, 30, 275747.4, 30, 356929.9, 30, 410907.5, 30, 259510.4
32, 177669.1, 32, 241083.7, 32, 1148701.0, 32, 400838.8, 32, 419632.3, 32, 307741.0, 32, 193904.8, 32, 362591.9, 32, 275899.8, 32, 329672.2, 32, 265851.5, 32, 372914.7, 32, 275733.6, 32, 356958.4, 32, 410877.2, 32, 259513.4
34, 177719.9, 34, 241141.8, 34, 1148723.0, 34, 400863.9, 34, 419681.5, 34, 307761.1, 34, 193913.6, 34, 362631.4, 34, 275980.1, 34, 329816.5, 34, 265861.4, 34, 373030.8, 34, 275788.8, 34, 356973.1, 34, 410895.9, 34, 259533.5
36, 177711.3, 36, 241202.0, 36, 1148753.0, 36, 400857.1, 36, 419654.2, 36, 307829.5, 36, 193914.8, 36, 362625.2, 36, 275943.4, 36, 329894.7, 36, 265836.8, 36, 373001.2, 36, 275770.0, 36, 356957.9, 36, 410961.8, 36, 259524.7
38, 177690.7, 38, 241143.6, 38, 1148778.0, 38, 400900.7, 38, 419664.3, 38, 307832.6, 38, 193922.6, 38, 362596.6, 38, 275883.6, 38, 329904.1, 38, 265778.1, 38, 372977.3, 38, 275797.1, 38, 356955.2, 38, 410999.6, 38, 259543.0
40, 177710.1, 40, 241164.5, 40, 1148808.0, 40, 400931.1, 40, 419643.5, 40, 307848.9, 40, 193948.8, 40, 362636.8, 40, 275876.1, 40, 329913.3, 40, 265679.2, 40, 372963.6, 40, 275765.4, 40, 356916.5, 40, 411047.5, 40, 259540.8
42, 177728.4, 42, 241210.9, 42, 1148722.0, 42, 400915.4, 42, 419654.5, 42, 307795.7, 42, 193945.6, 42, 362674.1, 42, 275915.0, 42, 329851.1, 42, 265727.6, 42, 372955.7, 42, 275778.7, 42, 356936.1, 42, 411067.7, 42, 259493.0
44, 177699.2, 44, 241206.9, 44, 1148786.0, 44, 400877.4, 44, 419662.2, 44, 307768.0, 44, 193944.0, 44, 362675.9, 44, 275984.5, 44, 329852.8, 44, 265761.7, 44, 373026.8, 44, 275787.6, 44, 356973.7, 44, 410954.8, 44, 259536.2
46, 177697.4, 46, 241160.9, 46, 1148802.0, 46, 400850.6, 46, 419646.0, 46, 307763.6, 46, 193944.7, 46, 362658.4, 46, 275935.4, 46, 329825.6, 46, 265749.9, 46, 373017.2, 46, 275792.0, 46, 357009.7, 46, 410921.3, 46, 259472.3
48, 177670.6, 48, 241163.9, 48, 1148746.0, 48, 400818.6, 48, 419607.2, 48, 307822.8, 48, 193956.9, 48, 362640.5, 48, 275929.5, 48, 329797.0, 48, 265720.2, 48, 372960.3, 48, 275738.2, 48, 356999.0, 48, 410964.0, 48, 259505.3
50, 177689.3, 50, 241198.5, 50, 1148753.0, 50, 400881.2, 50, 419689.9, 50, 307837.9, 50, 193959.6, 50, 362691.9, 50, 275917.4, 50, 329801.3, 50, 265726.5, 50, 372983.6, 50, 275749.5, 50, 356988.2, 50, 410947.6, 50, 259467.4
52, 177672.7, 52, 241172.7, 52, 1148785.0, 52, 400814.8, 52, 419628.0, 52, 307828.6, 52, 193957.5, 52, 362608.3, 52, 275937.0, 52, 329767.0, 52, 265767.3, 52, 372945.9, 52, 275770.5, 52, 356988.8, 52, 410853.2, 52, 259468.6
54, 177657.6, 54, 241148.2, 54, 1148734.0, 54, 400824.4, 54, 419612.8, 54, 307803.5, 54, 193981.9, 54, 362640.0, 54, 275968.6, 54, 329762.6, 54, 265795.3, 54, 372995.4, 54, 275741.3, 54, 357030.1, 54, 410883.5, 54, 259488.3
56, 177686.7, 56, 241176.5, 56, 1148774.0, 56, 400754.9, 56, 419667.0, 56, 307795.2, 56, 194010.2, 56, 362584.0, 56, 275978.6, 56, 329704.2, 56, 265778.9, 56, 372991.6, 56, 275731.9, 56, 357017.5, 56, 410861.2, 56, 259466.9
58, 177635.6, 58, 241120.5, 58, 1148708.0, 58, 400803.2, 58, 419650.1, 58, 307800.0, 58, 194003.2, 58, 362580.8, 58, 275967.3, 58, 329753.7, 58, 265775.1, 58, 373025.0, 58, 275719.6, 58, 357006.2, 58, 410853.9, 58, 259477.2
60, 177672.1, 60, 241087.8, 60, 1148809.0, 60, 400825.8, 60, 419639.6, 60, 307855.4, 60, 193956.0, 60, 362561.3, 60, 275963.7, 60, 329754.1, 60, 265802.6, 60, 372964.8, 60, 275792.8, 60, 357005.9, 60, 410855.2, 60, 259470.8
62, 177635.5, 62, 241111.2, 62, 1148759.0, 62, 400796.6, 62, 419618.6, 62, 307826.7, 62, 193977.0, 62, 362563.5, 62, 275974.8, 62, 329729.5, 62, 265803.1, 62, 372957.4, 62, 275742.2, 62, 357015.3, 62, 410862.0, 62, 259433.1
64, 177638.0, 64, 241078.9, 64, 1148740.0, 64, 400821.4, 64, 419635.9, 64, 307861.4, 64, 193953.0, 64, 362580.9, 64, 275983.5, 64, 329721.0, 64, 265799.5, 64, 372954.2, 64, 275726.4, 64, 357038.5, 64, 410831.1, 64, 259424.6
66, 177657.2, 66, 241111.4, 66, 1148778.0, 66, 400784.9, 66, 419625.1, 66, 307858.7, 66, 194000.7, 66, 362581.1, 66, 275966.1, 66, 329704.5, 66, 265828.9, 66, 373009.6, 66, 275726.0, 66, 357048.4, 66, 410868.4, 66, 259440.9
68, 177639.3, 68, 241107.5, 68, 1148740.0, 68, 400780.5, 68, 419637.9, 68, 307909.5, 68, 194026.1, 68, 362597.0, 68, 275987.0, 68, 329729.4, 68, 265863.3, 68, 373028.4, 68, 275706.8, 68, 357078.4, 68, 410836.6, 68, 259443.2
70, 177628.4, 70, 241125.1, 70, 1148777.0, 70, 400786.0, 70, 419643.0, 70, 307875.3, 70, 193997.0, 70, 362606.3, 70, 275979.0, 70, 329764.3, 70, 265858.8, 70, 373026.3, 70, 275765.3, 70, 357086.1, 70, 410880.5, 70, 259460.6
72, 177661.9, 72, 241139.7, 72, 1148747.0, 72, 400864.5, 72, 419633.2, 72, 307879.0, 72, 193991.6, 72, 362578.6, 72, 275969.9, 72, 329814.1, 72, 265826.0, 72, 373038.5, 72, 275759.8, 72, 357006.3, 72, 410916.9, 72, 259469.6
74, 177640.8, 74, 241136.1, 74, 1148758.0, 74, 400865.7, 74, 419602.2, 74, 307892.7, 74, 193951.5, 74, 362631.0, 74, 275922.0, 74, 329798.4, 74, 265791.4, 74, 373044.9, 74, 275785.8, 74, 357051.1, 74, 410961.5, 74, 259503.8
76, 177638.5, 76, 241127.2, 76, 1148722.0, 76, 400860.5, 76, 419617.0, 76, 307923.6, 76, 193967.5, 76, 362628.0, 76, 275962.3, 76, 329788.8, 76, 265773.3, 76, 372986.3, 76, 275782.3, 76, 356998.2, 76, 410944.9, 76, 259454.7
78, 177715.2, 78, 241193.7, 78, 1148746.0, 78, 400863.0, 78, 419606.4, 78, 307877.6, 78, 193997.8, 78, 362645.1, 78, 275982.5, 78, 329778.6, 78, 265776.7, 78, 373013.7, 78, 275775.9, 78, 357059.8, 78, 410922.3, 78, 259453.4
80, 177656.5, 80, 241161.2, 80, 1148761.0, 80, 400802.0, 80, 419623.5, 80, 307816.9, 80, 194000.1, 80, 362588.7, 80, 275944.6, 80, 329736.7, 80, 265759.9, 80, 373017.0, 80, 275729.8, 80, 357044.2, 80, 410878.2, 80, 259441.7
82, 177685.0, 82, 241123.2, 82, 1148787.0, 82, 400845.3, 82, 419595.5, 82, 307816.4, 82, 193987.0, 82, 362613.6, 82, 275989.8, 82, 329683.7, 82, 265809.4, 82, 372978.3, 82, 275815.4, 82, 357100.3, 82, 410886.5, 82, 259420.0
84, 177710.8, 84, 241186.3, 84, 1148842.0, 84, 400824.4, 84, 419685.2, 84, 307904.6, 84, 194000.5, 84, 362603.4, 84, 275974.3, 84, 329836.3, 84, 265841.0, 84, 373021.4, 84, 275776.8, 84, 357121.1, 84, 410959.8, 84, 259474.0
86, 177681.5, 86, 241157.7, 86, 1148792.0, 86, 400889.7, 86, 419643.1, 86, 307903.8, 86, 194023.6, 86, 362652.6, 86, 275933.5, 86, 329873.7, 86, 265706.7, 86, 373039.1, 86, 275821.2, 86, 357065.5, 86, 411088.0, 86, 259490.8
88, 177695.6, 88, 241260.4, 88, 1148814.0, 88, 400962.9, 88, 419659.9, 88, 307934.9, 88, 193998.2, 88, 362674.1, 88, 275932.0, 88, 329853.2, 88, 265695.5, 88, 373040.6, 88, 275806.8, 88, 357018.9, 88, 411094.3, 88, 259476.9
90, 177720.6, 90, 241273.0, 90, 1148835.0, 90, 400933.4, 90, 419627.9, 90, 307908.4, 90, 193974.6, 90, 362695.0, 90, 275938.8, 90, 329843.8, 90, 265689.4, 90, 373030.5, 90, 275802.2, 90, 356983.4, 90, 411073.5, 90, 259453.5
92, 177748.1, 92, 241231.9, 92, 1148838.0, 92, 400899.3, 92, 419652.3, 92, 307851.3, 92, 193996.4, 92, 362686.6, 92, 275956.4, 92, 329827.1, 92, 265726.8, 92, 372984.8, 92, 275879.3, 92, 357010.4, 92, 410988.0, 92, 259449.7
94, 177729.8, 94, 241194.6, 94, 1148827.0, 94, 400885.7, 94, 419651.9, 94, 307840.9, 94, 193996.3, 94, 362657.8, 94, 275947.8, 94, 329806.7, 94, 265696.8, 94, 372980.2, 94, 275781.3, 94, 357065.4, 94, 410924.5, 94, 259437.6
96, 177682.3, 96, 241183.1, 96, 1148821.0, 96, 400852.8, 96, 419647.2, 96, 307826.6, 96, 194012.0, 96, 362635.1, 96, 275983.7, 96, 329737.9, 96, 265716.9, 96, 372948.3, 96, 275768.9, 96, 357036.1, 96, 410860.6, 96, 259426.9
98, 177700.7, 98, 241184.2, 98, 1148767.0, 98, 400798.6, 98, 419659.2, 98, 307869.1, 98, 193998.9, 98, 362636.5, 98, 275972.9, 98, 329701.2, 98, 265773.8, 98, 373006.4, 98, 275770.4, 98, 357117.9, 98, 410874.0, 98, 259424.9
100, 177649.6, 100, 241163.2, 100, 1148753.0, 100, 400819.3, 100, 419598.0, 100, 307874.1, 100, 193989.0, 100, 362572.7, 100, 275933.6, 100, 329686.4, 100, 265760.2, 100, 372958.7, 100, 275787.5, 100, 357031.3, 100, 410829.1, 100, 259409.1
102, 177673.7, 102, 241169.5, 102, 1148792.0, 102, 400821.3, 102, 419598.9, 102, 307845.9, 102, 194011.2, 102, 362598.0, 102, 275986.4, 102, 329696.8, 102, 265820.1, 102, 373020.3, 102, 275748.9, 102, 357059.5, 102, 410868.2, 102, 259418.0
104, 177690.2, 104, 241153.0, 104, 1148775.0, 104, 400847.8, 104, 419631.3, 104, 307920.1, 104, 193976.1, 104, 362584.6, 104, 275990.7, 104, 329717.1, 104, 265825.7, 104, 372985.9, 104, 275759.6, 104, 357080.5, 104, 410816.7, 104, 259399.4
106, 177690.7, 106, 241194.8, 106, 1148818.0, 106, 400861.3, 106, 419625.9, 106, 307905.1, 106, 194010.8, 106, 362617.0, 106, 275952.2, 106, 329771.4, 106, 265808.0, 106, 372943.5, 106, 275800.6, 106, 357063.1, 106, 410867.7, 106, 259415.8
108, 177659.1, 108, 241185.3, 108, 1148809.0, 108, 400839.5, 108, 419627.5, 108, 307978.8, 108, 194051.3, 108, 362678.3, 108, 275954.8, 108, 329787.3, 108, 265776.8, 108, 373005.0, 108, 275769.9, 108, 357093.7, 108, 410937.5, 108, 259452.8
110, 177678.6, 110, 241212.3, 110, 1148816.0, 110, 400864.4, 110, 419632.0, 110, 307924.0, 110, 194022.6, 110, 362682.5, 110, 275921.0, 110, 329785.0, 110, 265758.7, 110, 372936.6, 110, 275800.1, 110, 357117.7, 110, 410971.6, 110, 259483.4
112, 177693.3, 112, 241272.3, 112, 1148818.0, 112, 400898.0, 112, 419643.2, 112, 307886.1, 112, 193993.0, 112, 362664.1, 112, 275958.4, 112, 329751.6, 112, 265745.4, 112, 372914.7, 112, 275769.7, 112, 357036.6, 112, 410955.0, 112, 259439.0
114, 177722.7, 114, 241243.6, 114, 1148796.0, 114, 400855.3, 114, 419635.3, 114, 307888.7, 114, 194006.2, 114, 362671.1, 114, 275956.1, 114, 329769.0, 114, 265737.8, 114, 372953.3, 114, 275790.9, 114, 357098.8, 114, 410884.9, 114, 259426.3
116, 177705.8, 116, 241231.5, 116, 1148820.0, 116, 400838.3, 116, 419629.1, 116, 307910.0, 116, 194001.4, 116, 362653.0, 116, 275994.2, 116, 329724.0, 116, 265752.4, 116, 372914.1, 116, 275739.3, 116, 357085.4, 116, 410847.8, 116, 259454.9
118, 177704.7, 118, 241173.6, 118, 1148799.0, 118, 400786.0, 118, 419616.1, 118, 307879.1, 118, 194012.9, 118, 362643.1, 118, 276012.2, 118, 329685.0, 118, 265798.1, 118, 372948.6, 118, 275799.8, 118, 357102.4, 118, 410841.6, 118, 259442.4
120, 177697.0, 120, 241191.4, 120, 1148829.0, 120, 400816.9, 120, 419577.7, 120, 307889.0, 120, 193981.2, 120, 362638.8, 120, 275956.8, 120, 329733.7, 120, 265819.8, 120, 372942.6, 120, 275753.9, 120, 357081.5, 120, 410813.4, 120, 259450.8
122, 177693.5, 122, 241194.0, 122, 1148785.0, 122, 400798.2, 122, 419590.5, 122, 307901.1, 122, 193999.8, 122, 362653.0, 122, 275965.7, 122, 329686.9, 122, 265766.8, 122, 372939.6, 122, 275714.6, 122, 357070.7, 122, 410833.5, 122, 259437.8
124, 177707.7, 124, 241222.2, 124, 1148844.0, 124, 400813.4, 124, 419637.0, 124, 307897.0, 124, 194030.2, 124, 362649.3, 124, 275991.5, 124, 329710.6, 124, 265800.8, 124, 372932.7, 124, 275771.5, 124, 357094.4, 124, 410818.7, 124, 259416.5
126, 177663.7, 126, 241244.9, 126, 1148820.0, 126, 400802.6, 126, 419620.0, 126, 307905.3, 126, 194041.5, 126, 362619.6, 126, 275949.9, 126, 329763.4, 126, 265757.4, 126, 373024.4, 126, 275774.0, 126, 357042.7, 126, 410875.1, 126, 259435.7
128, 177659.9, 128, 241193.5, 128, 1148858.0, 128, 400826.4, 128, 419607.8, 128, 307949.6, 128, 193996.6, 128, 362660.0, 128, 275930.7, 128, 329705.4, 128, 265794.4, 128, 372957.4, 128, 275779.8, 128, 357108.5, 128, 410908.3, 128, 259458.4
130, 177718.0, 130, 241226.2, 130, 1148842.0, 130, 400871.0, 130, 419632.0, 130, 307867.6, 130, 194028.1, 130, 362695.1, 130, 275967.6, 130, 329728.6, 130, 265835.6, 130, 372992.0, 130, 275794.0, 130, 357109.1, 130, 410923.1, 130, 259441.8
132, 177736.5, 132, 241246.9, 132, 1148870.0, 132, 400849.2, 132, 419608.8, 132, 307881.8, 132, 193997.8, 132, 362647.9, 132, 275971.5, 132, 329735.9, 132, 265849.8, 132, 372962.4, 132, 275781.5, 132, 357093.2, 132, 410830.5, 132, 259453.6
134, 177700.8, 134, 241201.5, 134, 1148824.0, 134, 400813.6, 134, 419601.8, 134, 307936.1, 134, 193971.5, 134, 362669.9, 134, 276002.1, 134, 329721.6, 134, 265794.7, 134, 372964.2, 134, 275738.4, 134, 357085.0, 134, 410886.3, 134, 259428.1
136, 177738.7, 136, 241230.0, 136, 1148829.0, 136, 400832.7, 136, 419611.6, 136, 307901.1, 136, 194045.8, 136, 362677.3, 136, 275984.1, 136, 329660.7, 136, 265830.8, 136, 372993.1, 136, 275776.9, 136, 357078.5, 136, 410811.1, 136, 259409.7
138, 177705.7, 138, 241211.9, 138, 1148831.0, 138, 400808.4, 138, 419581.0, 138, 307873.1, 138, 193989.7, 138, 362673.4, 138, 275953.5, 138, 329722.1, 138, 265805.4, 138, 373012.4, 138, 275754.7, 138, 357075.5, 138, 410802.2, 138, 259427.7
140, 177659.9, 140, 241231.7, 140, 1148804.0, 140, 400799.1, 140, 419606.7, 140, 307870.3, 140, 193978.0, 140, 362664.9, 140, 276011.8, 140, 329729.7, 140, 265808.8, 140, 372977.9, 140, 275756.4, 140, 357096.1, 140, 410780.9, 140, 259464.0
142, 177741.9, 142, 241254.3, 142, 1148802.0, 142, 400850.1, 142, 419566.5, 142, 307927.0, 142, 194018.2, 142, 362617.6, 142, 275966.5, 142, 329730.6, 142, 265808.8, 142, 373010.1, 142, 275786.0, 142, 357105.5, 142, 410810.0, 142, 259479.8
144, 177698.9, 144, 241232.2, 144, 1148789.0, 144, 400852.0, 144, 419620.3, 144, 307897.4, 144, 194010.0, 144, 362651.4, 144, 275937.7, 144, 329741.3, 144, 265805.9, 144, 372966.8, 144, 275743.8, 144, 357081.7, 144, 410855.3, 144, 259430.2
146, 177713.1, 146, 241260.2, 146, 1148822.0, 146, 400797.1, 146, 419572.4, 146, 307940.3, 146, 194005.5, 146, 362646.2, 146, 276001.1, 146, 329708.6, 146, 265810.1, 146, 372935.5, 146, 275763.4, 146, 357046.0, 146, 410824.3, 146, 259492.0
148, 177701.3, 148, 241234.8, 148, 1148782.0, 148, 400799.6, 148, 419625.5, 148, 307921.5, 148, 194021.9, 148, 362690.0, 148, 275991.8, 148, 329691.5, 148, 265835.0, 148, 372970.8, 148, 275747.5, 148, 357122.5, 148, 410794.1, 148, 259432.5
150, 177717.8, 150, 241200.4, 150, 1148792.0, 150, 400791.7, 150, 419577.1, 150, 307940.0, 150, 193985.2, 150, 362637.0, 150, 275988.4, 150, 329691.6, 150, 265810.8, 150, 372942.0, 150, 275740.4, 150, 357128.6, 150, 410800.8, 150, 259441.8
152, 177692.0, 152, 241273.3, 152, 1148865.0, 152, 400810.6, 152, 419595.9, 152, 307915.0, 152, 193991.9, 152, 362631.6, 152, 276005.9, 152, 329709.0, 152, 265826.7, 152, 372972.7, 152, 275749.4, 152, 357126.8, 152, 410827.6, 152, 259459.0
154, 177647.9, 154, 241257.5, 154, 1148828.0, 154, 400787.2, 154, 419606.6, 154, 307945.0, 154, 193990.3, 154, 362634.2, 154, 275949.7, 154, 329727.3, 154, 265869.9, 154, 372948.6, 154, 275765.9, 154, 357106.1, 154, 410849.6, 154, 259421.2
156, 177672.6, 156, 241257.9, 156, 1148816.0, 156, 400811.4, 156, 419594.5, 156, 307966.4, 156, 193957.1, 156, 362673.7, 156, 275969.7, 156, 329657.6, 156, 265798.8, 156, 372927.8, 156, 275741.4, 156, 357104.4, 156, 410836.7, 156, 259497.5
158, 177746.4, 158, 241251.3, 158, 1148893.0, 158, 400794.2, 158, 419571.4, 158, 307933.2, 158, 194014.3, 158, 362651.4, 158, 276012.1, 158, 329728.0, 158, 265798.9, 158, 372905.9, 158, 275789.8, 158, 357137.6, 158, 410870.1, 158, 259431.7
160, 177720.9, 160, 241239.5, 160, 1148860.0, 160, 400827.5, 160, 419582.3, 160, 307928.0, 160, 194009.9, 160, 362647.1, 160, 275930.6, 160, 329675.6, 160, 265836.9, 160, 372931.1, 160, 275744.9, 160, 357112.4, 160, 410841.9, 160, 259448.6
162, 177690.5, 162, 241283.4, 162, 1148820.0, 162, 400806.2, 162, 419593.5, 162, 307908.5, 162, 194034.6, 162, 362668.1, 162, 275949.5, 162, 329707.9, 162, 265856.9, 162, 372929.0, 162, 275770.9, 162, 357178.9, 162, 410820.6, 162, 259447.2
164, 177708.1, 164, 241261.1, 164, 1148803.0, 164, 400800.4, 164, 419604.0, 164, 307953.9, 164, 194029.2, 164, 362609.3, 164, 276007.3, 164, 329701.7, 164, 265861.1, 164, 372942.2, 164, 275753.7, 164, 357128.8, 164, 410849.0, 164, 259460.9
166, 177670.0, 166, 241242.3, 166, 1148818.0, 166, 400732.6, 166, 419582.3, 166, 307922.8, 166, 193991.7, 166, 362667.2, 166, 276010.5, 166, 329705.4, 166, 265854.1, 166, 373059.4, 166, 275762.2, 166, 357147.8, 166, 410836.4, 166, 259429.2
168, 177712.1, 168, 241277.4, 168, 1148860.0, 168, 400799.6, 168, 419569.3, 168, 307917.4, 168, 194029.0, 168, 362655.1, 168, 275978.1, 168, 329736.4, 168, 265870.2, 168, 373090.1, 168, 275773.8, 168, 357119.1, 168, 410807.9, 168, 259462.0
170, 177689.2, 170, 241280.0, 170, 1148831.0, 170, 400821.3, 170, 419608.6, 170, 307952.7, 170, 194035.6, 170, 362596.8, 170, 275982.1, 170, 329728.4, 170, 265827.8, 170, 373078.5, 170, 275749.7, 170, 357094.8, 170, 410855.9, 170, 259469.4
172, 177717.3, 172, 241249.2, 172, 1148825.0, 172, 400792.4, 172, 419582.3, 172, 307933.8, 172, 194025.9, 172, 362650.8, 172, 276004.7, 172, 329704.9, 172, 265799.5, 172, 373059.2, 172, 275742.7, 172, 357073.0, 172, 410841.5, 172, 259442.5
174, 177745.7, 174, 241308.7, 174, 1148879.0, 174, 400809.4, 174, 419600.6, 174, 307903.4, 174, 194008.1, 174, 362663.1, 174, 275994.3, 174, 329774.1, 174, 265829.3, 174, 373084.9, 174, 275825.1, 174, 357154.0, 174, 410872.6, 174, 259467.7
176, 177708.1, 176, 241342.8, 176, 1148916.0, 176, 400859.6, 176, 419603.5, 176, 307932.8, 176, 194036.3, 176, 362679.1, 176, 276007.8, 176, 329816.8, 176, 265837.9, 176, 373078.1, 176, 275800.5, 176, 357144.0, 176, 410924.5, 176, 259469.6
178, 177766.7, 178, 241317.3, 178, 1148883.0, 178, 400935.4, 178, 419627.0, 178, 307960.0, 178, 193968.9, 178, 362714.3, 178, 275964.5, 178, 329910.0, 178, 265774.4, 178, 373095.2, 178, 275868.5, 178, 357164.9, 178, 411027.9, 178, 259507.8
180, 177774.8, 180, 241427.9, 180, 1148947.0, 180, 400976.9, 180, 419637.5, 180, 307970.7, 180, 194015.7, 180, 362758.8, 180, 275915.8, 180, 329930.8, 180, 265685.0, 180, 373103.5, 180, 275881.0, 180, 357084.7, 180, 411101.9, 180, 259523.0
182, 177820.5, 182, 241426.2, 182, 1148912.0, 182, 400942.9, 182, 419575.9, 182, 307927.6, 182, 193962.3, 182, 362783.2, 182, 275882.7, 182, 329894.1, 182, 265633.0, 182, 373088.5, 182, 275834.8, 182, 357048.6, 182, 411077.2, 182, 259489.0
184, 177825.4, 184, 241426.7, 184, 1148922.0, 184, 400909.8, 184, 419568.4, 184, 307956.1, 184, 193991.5, 184, 362777.8, 184, 275970.7, 184, 329873.3, 184, 265664.3, 184, 373043.3, 184, 275852.5, 184, 357030.6, 184, 410977.1, 184, 259474.9
186, 177820.5, 186, 241431.9, 186, 1148949.0, 186, 400864.9, 186, 419606.5, 186, 307908.7, 186, 194008.8, 186, 362791.6, 186, 275919.0, 186, 329804.7, 186, 265685.9, 186, 373068.3, 186, 275846.0, 186, 357063.9, 186, 410895.9, 186, 259494.5
188, 177770.9, 188, 241467.2, 188, 1148933.0, 188, 400852.0, 188, 419598.2, 188, 307883.3, 188, 193993.3, 188, 362745.9, 188, 275991.1, 188, 329810.2, 188, 265721.9, 188, 373003.4, 188, 275833.8, 188, 357095.3, 188, 410885.2, 188, 259456.3
