time 1,PET_0.03mm_1, time 2,PUL-1,time 3,PUL-2, time 4,PUL-3,time 5 ,Marino-wool_1, time 6,Marino-wool_2,time 7,Marino-wool_3, time 8,Nylon_1,time 9 ,Nylon_2, time 10,Nylon_3,time 11,Polyester_1, time 12,Polyester_2,time 13 ,Polyester_3, time 14,Silk_1,time 15,Silk_2, time 16,Silk_3
4852, 177200.9, 4852, 218166.7, 4852, 325851.9, 4852, -387014.6, 4852, 427110.6, 4852, 505367.9, 4852, 399538.8, 4852, 375997.2, 4852, 214362.2, 4852, 304870.1, 4852, 251597.6, 4852, 400058.7, 4852, 213783.4, 4852, 126119.5, 4852, 322752.5, 4852, 234764.0
4854, 177189.2, 4854, 218124.6, 4854, 325846.8, 4854, -386977.5, 4854, 427127.6, 4854, 505395.0, 4854, 399528.4, 4854, 376002.0, 4854, 214352.3, 4854, 304892.4, 4854, 251595.1, 4854, 400056.0, 4854, 213791.5, 4854, 126105.9, 4854, 322751.0, 4854, 234751.5
4856, 177192.2, 4856, 218062.2, 4856, 325795.0, 4856, -386939.8, 4856, 427145.7, 4856, 505427.9, 4856, 399508.9, 4856, 375980.2, 4856, 214346.2, 4856, 304921.4, 4856, 251599.1, 4856, 400054.7, 4856, 213784.8, 4856, 126100.7, 4856, 322726.2, 4856, 234737.3
4858, 177216.3, 4858, 218058.1, 4858, 325795.2, 4858, -386924.9, 4858, 427120.8, 4858, 505448.2, 4858, 399510.7, 4858, 375966.7, 4858, 214361.7, 4858, 304946.8, 4858, 251608.6, 4858, 400029.5, 4858, 213784.6, 4858, 126108.2, 4858, 322716.5, 4858, 234751.1
4860, 177209.0, 4860, 218036.3, 4860, 325764.2, 4860, -386852.0, 4860, 427141.1, 4860, 505462.2, 4860, 399508.3, 4860, 375955.0, 4860, 214378.1, 4860, 304941.5, 4860, 251608.2, 4860, 400031.8, 4860, 213771.7, 4860, 126116.1, 4860, 322726.9, 4860, 234734.6
4862, 177220.6, 4862, 218030.7, 4862, 325760.0, 4862, -386874.3, 4862, 427167.4, 4862, 505466.6, 4862, 399490.8, 4862, 375931.9, 4862, 214390.7, 4862, 304962.4, 4862, 251597.5, 4862, 400024.8, 4862, 213774.8, 4862, 126125.8, 4862, 322745.3, 4862, 234756.4
4864, 177216.8, 4864, 218052.1, 4864, 325758.4, 4864, -386880.3, 4864, 427139.4, 4864, 505432.9, 4864, 399498.8, 4864, 375931.4, 4864, 214397.1, 4864, 304952.6, 4864, 251596.8, 4864, 400018.2, 4864, 213744.5, 4864, 126122.4, 4864, 322710.9, 4864, 234724.2
4866, 177200.8, 4866, 218033.7, 4866, 325752.3, 4866, -386877.4, 4866, 427121.2, 4866, 505438.0, 4866, 399474.7, 4866, 375939.9, 4866, 214377.9, 4866, 304957.3, 4866, 251603.5, 4866, 400018.6, 4866, 213730.3, 4866, 126128.9, 4866, 322710.9, 4866, 234736.2
4868, 177233.1, 4868, 218015.2, 4868, 325749.1, 4868, -386848.4, 4868, 427131.3, 4868, 505445.6, 4868, 399468.8, 4868, 375952.0, 4868, 214406.8, 4868, 304950.4, 4868, 251607.8, 4868, 400009.1, 4868, 213757.9, 4868, 126111.1, 4868, 322700.7, 4868, 234732.1
4870, 177204.2, 4870, 217994.8, 4870, 325727.1, 4870, -386858.3, 4870, 427113.5, 4870, 505427.7, 4870, 399469.9, 4870, 375913.6, 4870, 214425.6, 4870, 304983.0, 4870, 251599.7, 4870, 400019.7, 4870, 213731.0, 4870, 126109.4, 4870, 322703.6, 4870, 234733.4
4872, 177223.4, 4872, 217992.4, 4872, 325710.7, 4872, -386812.1, 4872, 427133.2, 4872, 505466.5, 4872, 399481.4, 4872, 375916.1, 4872, 214402.4, 4872, 304974.4, 4872, 251598.1, 4872, 399999.3, 4872, 213717.5, 4872, 126093.2, 4872, 322692.7, 4872, 234711.1
4874, 177222.1, 4874, 217995.2, 4874, 325713.0, 4874, -386810.5, 4874, 427123.8, 4874, 505451.3, 4874, 399480.5, 4874, 375885.2, 4874, 214419.4, 4874, 304966.6, 4874, 251589.4, 4874, 400000.4, 4874, 213710.4, 4874, 126107.8, 4874, 322692.1, 4874, 234732.6
4876, 177231.8, 4876, 218003.0, 4876, 325706.3, 4876, -386804.7, 4876, 427144.9, 4876, 505430.2, 4876, 399455.1, 4876, 375927.9, 4876, 214428.2, 4876, 304983.9, 4876, 251589.6, 4876, 399980.4, 4876, 213698.1, 4876, 126118.5, 4876, 322711.4, 4876, 234721.3
4878, 177258.9, 4878, 217985.7, 4878, 325703.4, 4878, -386808.6, 4878, 427160.1, 4878, 505431.0, 4878, 399472.0, 4878, 375881.2, 4878, 214438.6, 4878, 304975.0, 4878, 251581.6, 4878, 399989.8, 4878, 213715.4, 4878, 126108.3, 4878, 322688.0, 4878, 234705.4
4880, 177233.5, 4880, 218002.5, 4880, 325705.5, 4880, -386807.4, 4880, 427126.3, 4880, 505416.8, 4880, 399468.6, 4880, 375903.5, 4880, 214438.4, 4880, 304966.1, 4880, 251595.1, 4880, 399984.9, 4880, 213713.6, 4880, 126110.6, 4880, 322695.6, 4880, 234707.1
4882, 177236.9, 4882, 218029.7, 4882, 325721.2, 4882, -386827.0, 4882, 427106.9, 4882, 505396.8, 4882, 399463.1, 4882, 375893.2, 4882, 214416.8, 4882, 304942.4, 4882, 251577.0, 4882, 399995.1, 4882, 213689.1, 4882, 126095.1, 4882, 322685.8, 4882, 234707.9
4884, 177225.2, 4884, 218011.9, 4884, 325722.7, 4884, -386845.1, 4884, 427110.0, 4884, 505395.8, 4884, 399469.1, 4884, 375913.6, 4884, 214408.4, 4884, 304943.1, 4884, 251583.9, 4884, 399987.2, 4884, 213675.5, 4884, 126096.9, 4884, 322679.7, 4884, 234674.9
4886, 177229.3, 4886, 218018.2, 4886, 325736.7, 4886, -386814.4, 4886, 427104.6, 4886, 505380.8, 4886, 399464.6, 4886, 375886.1, 4886, 214412.6, 4886, 304934.4, 4886, 251566.7, 4886, 399978.8, 4886, 213705.9, 4886, 126086.5, 4886, 322709.2, 4886, 234683.4
4888, 177223.2, 4888, 218025.2, 4888, 325714.8, 4888, -386854.8, 4888, 427089.3, 4888, 505385.2, 4888, 399444.2, 4888, 375877.1, 4888, 214400.4, 4888, 304947.6, 4888, 251574.8, 4888, 399999.3, 4888, 213691.5, 4888, 126090.4, 4888, 322679.8, 4888, 234709.5
4890, 177234.4, 4890, 218015.3, 4890, 325723.1, 4890, -386827.6, 4890, 427076.1, 4890, 505387.7, 4890, 399454.2, 4890, 375878.3, 4890, 214404.6, 4890, 304934.7, 4890, 251566.2, 4890, 399970.4, 4890, 213678.7, 4890, 126092.1, 4890, 322654.8, 4890, 234708.7
4892, 177232.9, 4892, 218010.3, 4892, 325697.8, 4892, -386818.9, 4892, 427094.4, 4892, 505392.5, 4892, 399458.6, 4892, 375853.7, 4892, 214412.3, 4892, 304939.5, 4892, 251564.1, 4892, 399955.4, 4892, 213678.2, 4892, 126087.1, 4892, 322691.3, 4892, 234680.9
4894, 177222.6, 4894, 218003.4, 4894, 325703.5, 4894, -386818.0, 4894, 427088.9, 4894, 505382.9, 4894, 399455.1, 4894, 375872.6, 4894, 214409.0, 4894, 304959.4, 4894, 251560.3, 4894, 399963.8, 4894, 213668.8, 4894, 126091.7, 4894, 322677.0, 4894, 234680.4
4896, 177258.4, 4896, 218005.8, 4896, 325727.2, 4896, -386821.5, 4896, 427104.1, 4896, 505388.2, 4896, 399434.7, 4896, 375860.7, 4896, 214402.2, 4896, 304927.7, 4896, 251553.1, 4896, 399986.5, 4896, 213688.6, 4896, 126083.2, 4896, 322670.6, 4896, 234665.3
4898, 177236.1, 4898, 218029.0, 4898, 325725.7, 4898, -386836.8, 4898, 427058.3, 4898, 505368.9, 4898, 399442.1, 4898, 375846.5, 4898, 214394.7, 4898, 304899.9, 4898, 251544.2, 4898, 399971.4, 4898, 213678.7, 4898, 126083.5, 4898, 322658.7, 4898, 234689.9
4900, 177210.8, 4900, 218055.7, 4900, 325735.8, 4900, -386885.6, 4900, 427057.0, 4900, 505352.3, 4900, 399426.4, 4900, 375877.7, 4900, 214375.6, 4900, 304882.7, 4900, 251534.4, 4900, 399961.7, 4900, 213653.5, 4900, 126063.7, 4900, 322660.5, 4900, 234687.0
4902, 177221.2, 4902, 218036.2, 4902, 325721.5, 4902, -386854.5, 4902, 427071.0, 4902, 505360.4, 4902, 399436.8, 4902, 375861.2, 4902, 214356.1, 4902, 304901.7, 4902, 251530.3, 4902, 399972.2, 4902, 213660.6, 4902, 126072.6, 4902, 322669.1, 4902, 234648.0
4904, 177213.1, 4904, 218021.6, 4904, 325724.4, 4904, -386845.9, 4904, 427082.5, 4904, 505358.8, 4904, 399437.3, 4904, 375857.5, 4904, 214381.6, 4904, 304882.3, 4904, 251568.5, 4904, 399976.4, 4904, 213672.0, 4904, 126065.0, 4904, 322660.3, 4904, 234675.1
4906, 177237.2, 4906, 218025.8, 4906, 325724.1, 4906, -386838.5, 4906, 427059.2, 4906, 505359.9, 4906, 399407.9, 4906, 375855.4, 4906, 214380.9, 4906, 304891.8, 4906, 251522.5, 4906, 399958.8, 4906, 213673.0, 4906, 126059.1, 4906, 322632.6, 4906, 234652.0
4908, 177252.4, 4908, 218035.8, 4908, 325734.3, 4908, -386827.9, 4908, 427087.3, 4908, 505369.9, 4908, 399423.9, 4908, 375859.9, 4908, 214377.3, 4908, 304906.8, 4908, 251570.3, 4908, 399998.1, 4908, 213693.2, 4908, 126074.8, 4908, 322670.0, 4908, 234644.6
4910, 177266.7, 4910, 218074.2, 4910, 325744.7, 4910, -386842.3, 4910, 427057.3, 4910, 505328.3, 4910, 399403.4, 4910, 375868.0, 4910, 214367.4, 4910, 304881.8, 4910, 251553.4, 4910, 399994.4, 4910, 213674.4, 4910, 126071.6, 4910, 322657.2, 4910, 234665.6
4912, 177225.9, 4912, 218125.3, 4912, 325788.4, 4912, -386921.7, 4912, 427013.6, 4912, 505271.7, 4912, 399425.6, 4912, 375875.1, 4912, 214338.7, 4912, 304798.9, 4912, 251525.1, 4912, 399992.7, 4912, 213688.5, 4912, 126036.7, 4912, 322654.2, 4912, 234651.9
4914, 177219.3, 4914, 218175.9, 4914, 325821.5, 4914, -386994.5, 4914, 426987.7, 4914, 505248.3, 4914, 399434.3, 4914, 375888.8, 4914, 214295.6, 4914, 304746.8, 4914, 251521.9, 4914, 400002.6, 4914, 213679.7, 4914, 126019.9, 4914, 322625.6, 4914, 234649.4
4916, 177184.9, 4916, 218161.2, 4916, 325860.4, 4916, -387003.1, 4916, 426970.1, 4916, 505251.9, 4916, 399420.1, 4916, 375907.5, 4916, 214261.2, 4916, 304752.0, 4916, 251503.4, 4916, 399979.4, 4916, 213685.3, 4916, 125995.2, 4916, 322643.3, 4916, 234651.8
4918, 177184.9, 4918, 218136.9, 4918, 325848.4, 4918, -387002.4, 4918, 426994.2, 4918, 505266.9, 4918, 399433.3, 4918, 375892.8, 4918, 214238.1, 4918, 304746.2, 4918, 251494.4, 4918, 399959.3, 4918, 213674.0, 4918, 125994.7, 4918, 322601.2, 4918, 234615.7
4920, 177203.6, 4920, 218091.1, 4920, 325815.6, 4920, -386968.3, 4920, 427008.1, 4920, 505293.7, 4920, 399394.7, 4920, 375860.3, 4920, 214229.1, 4920, 304769.0, 4920, 251472.9, 4920, 399952.3, 4920, 213654.7, 4920, 125999.9, 4920, 322617.1, 4920, 234604.7
4922, 177194.1, 4922, 218070.6, 4922, 325763.5, 4922, -386911.5, 4922, 427022.1, 4922, 505308.9, 4922, 399394.4, 4922, 375853.3, 4922, 214232.5, 4922, 304805.8, 4922, 251485.3, 4922, 399944.9, 4922, 213659.4, 4922, 125999.8, 4922, 322596.4, 4922, 234630.8
4924, 177201.3, 4924, 218038.0, 4924, 325805.9, 4924, -386893.3, 4924, 427028.6, 4924, 505334.5, 4924, 399393.3, 4924, 375847.1, 4924, 214279.9, 4924, 304831.9, 4924, 251484.4, 4924, 399925.2, 4924, 213659.8, 4924, 126013.6, 4924, 322622.2, 4924, 234599.9
4926, 177202.4, 4926, 218012.5, 4926, 325749.4, 4926, -386854.3, 4926, 427010.2, 4926, 505348.5, 4926, 399365.8, 4926, 375819.1, 4926, 214277.1, 4926, 304820.3, 4926, 251472.3, 4926, 399923.6, 4926, 213651.7, 4926, 125997.7, 4926, 322590.2, 4926, 234615.8
4928, 177230.8, 4928, 218009.0, 4928, 325726.7, 4928, -386868.1, 4928, 427016.3, 4928, 505349.2, 4928, 399369.0, 4928, 375822.5, 4928, 214283.3, 4928, 304853.0, 4928, 251490.8, 4928, 399892.9, 4928, 213630.6, 4928, 126001.0, 4928, 322616.4, 4928, 234624.2
4930, 177219.1, 4930, 218007.3, 4930, 325744.3, 4930, -386832.5, 4930, 427018.8, 4930, 505346.1, 4930, 399365.4, 4930, 375830.4, 4930, 214309.9, 4930, 304866.2, 4930, 251483.4, 4930, 399895.4, 4930, 213657.6, 4930, 125993.8, 4930, 322620.1, 4930, 234598.1
4932, 177223.0, 4932, 218020.0, 4932, 325744.6, 4932, -386826.5, 4932, 427030.4, 4932, 505347.2, 4932, 399337.4, 4932, 375816.9, 4932, 214321.4, 4932, 304857.7, 4932, 251484.6, 4932, 399903.0, 4932, 213638.6, 4932, 125985.0, 4932, 322606.7, 4932, 234608.4
4934, 177195.6, 4934, 218042.6, 4934, 325726.1, 4934, -386852.4, 4934, 426997.6, 4934, 505312.5, 4934, 399355.2, 4934, 375825.9, 4934, 214286.9, 4934, 304791.7, 4934, 251499.6, 4934, 399923.9, 4934, 213616.3, 4934, 125982.7, 4934, 322597.7, 4934, 234622.9
4936, 177221.7, 4936, 218036.3, 4936, 325760.3, 4936, -386903.6, 4936, 427002.5, 4936, 505289.0, 4936, 399353.5, 4936, 375817.7, 4936, 214292.5, 4936, 304801.9, 4936, 251478.0, 4936, 399890.8, 4936, 213619.6, 4936, 125996.4, 4936, 322592.1, 4936, 234581.7
4938, 177236.8, 4938, 218023.2, 4938, 325738.0, 4938, -386866.4, 4938, 427003.5, 4938, 505302.0, 4938, 399360.2, 4938, 375817.1, 4938, 214284.1, 4938, 304838.1, 4938, 251488.3, 4938, 399895.3, 4938, 213611.9, 4938, 125975.6, 4938, 322582.8, 4938, 234594.8
4940, 177226.0, 4940, 218028.2, 4940, 325735.0, 4940, -386850.1, 4940, 426998.5, 4940, 505290.4, 4940, 399363.1, 4940, 375804.3, 4940, 214277.6, 4940, 304817.0, 4940, 251450.8, 4940, 399912.8, 4940, 213606.0, 4940, 125988.5, 4940, 322571.4, 4940, 234599.3
4942, 177210.8, 4942, 218004.9, 4942, 325734.6, 4942, -386835.8, 4942, 426981.8, 4942, 505295.5, 4942, 399374.4, 4942, 375803.1, 4942, 214268.3, 4942, 304802.4, 4942, 251461.1, 4942, 399911.2, 4942, 213610.4, 4942, 125971.2, 4942, 322561.6, 4942, 234587.0
4944, 177243.2, 4944, 218007.3, 4944, 325723.0, 4944, -386816.4, 4944, 426997.3, 4944, 505324.3, 4944, 399361.9, 4944, 375782.5, 4944, 214300.2, 4944, 304834.3, 4944, 251456.7, 4944, 399889.7, 4944, 213595.4, 4944, 125978.0, 4944, 322571.8, 4944, 234599.5
4946, 177213.0, 4946, 217962.7, 4946, 325715.3, 4946, -386847.0, 4946, 426988.2, 4946, 505314.1, 4946, 399346.7, 4946, 375785.2, 4946, 214301.6, 4946, 304830.7, 4946, 251448.8, 4946, 399879.8, 4946, 213601.8, 4946, 125986.6, 4946, 322572.2, 4946, 234571.6
4948, 177227.6, 4948, 218001.2, 4948, 325698.8, 4948, -386818.1, 4948, 427007.3, 4948, 505302.6, 4948, 399355.0, 4948, 375762.7, 4948, 214303.4, 4948, 304806.2, 4948, 251470.0, 4948, 399859.7, 4948, 213613.7, 4948, 125970.1, 4948, 322550.1, 4948, 234574.0
4950, 177220.8, 4950, 217992.2, 4950, 325703.7, 4950, -386821.7, 4950, 426982.7, 4950, 505319.1, 4950, 399347.7, 4950, 375760.8, 4950, 214322.3, 4950, 304838.1, 4950, 251441.5, 4950, 399882.4, 4950, 213580.9, 4950, 125993.8, 4950, 322564.8, 4950, 234603.5
4952, 177219.8, 4952, 218004.7, 4952, 325704.3, 4952, -386820.0, 4952, 426991.8, 4952, 505274.7, 4952, 399337.0, 4952, 375761.7, 4952, 214296.6, 4952, 304828.2, 4952, 251440.6, 4952, 399837.9, 4952, 213555.3, 4952, 125977.5, 4952, 322563.7, 4952, 234563.7
4954, 177238.8, 4954, 217999.9, 4954, 325690.9, 4954, -386816.3, 4954, 426979.6, 4954, 505299.2, 4954, 399326.2, 4954, 375765.9, 4954, 214298.6, 4954, 304822.5, 4954, 251450.5, 4954, 399879.4, 4954, 213566.8, 4954, 125984.4, 4954, 322552.2, 4954, 234579.1
4956, 177223.3, 4956, 217971.6, 4956, 325672.1, 4956, -386796.5, 4956, 426981.1, 4956, 505284.8, 4956, 399340.7, 4956, 375750.2, 4956, 214299.6, 4956, 304817.4, 4956, 251425.9, 4956, 399843.4, 4956, 213554.4, 4956, 125972.6, 4956, 322553.4, 4956, 234614.1
4958, 177224.5, 4958, 217961.7, 4958, 325686.0, 4958, -386791.5, 4958, 426975.0, 4958, 505283.0, 4958, 399334.2, 4958, 375774.0, 4958, 214275.7, 4958, 304786.5, 4958, 251447.6, 4958, 399850.9, 4958, 213563.1, 4958, 125966.0, 4958, 322535.9, 4958, 234563.0
4960, 177231.2, 4960, 217977.9, 4960, 325682.7, 4960, -386812.6, 4960, 426976.5, 4960, 505277.6, 4960, 399339.5, 4960, 375753.2, 4960, 214320.0, 4960, 304809.4, 4960, 251430.8, 4960, 399828.6, 4960, 213547.4, 4960, 125978.8, 4960, 322540.1, 4960, 234557.2
4962, 177227.6, 4962, 217979.4, 4962, 325669.9, 4962, -386788.4, 4962, 426963.0, 4962, 505282.6, 4962, 399325.8, 4962, 375725.5, 4962, 214278.2, 4962, 304816.7, 4962, 251423.3, 4962, 399863.5, 4962, 213539.1, 4962, 125972.1, 4962, 322540.6, 4962, 234550.1
4964, 177245.3, 4964, 218001.8, 4964, 325693.1, 4964, -386789.5, 4964, 426970.9, 4964, 505277.0, 4964, 399318.9, 4964, 375739.7, 4964, 214285.2, 4964, 304818.1, 4964, 251440.2, 4964, 399877.2, 4964, 213600.2, 4964, 125973.3, 4964, 322575.2, 4964, 234543.3
4966, 177269.1, 4966, 218033.8, 4966, 325731.9, 4966, -386830.1, 4966, 426959.6, 4966, 505250.8, 4966, 399318.4, 4966, 375736.7, 4966, 214319.3, 4966, 304782.9, 4966, 251458.2, 4966, 399910.2, 4966, 213603.6, 4966, 125984.5, 4966, 322567.7, 4966, 234556.8
4968, 177233.8, 4968, 218133.9, 4968, 325779.8, 4968, -386914.8, 4968, 426901.0, 4968, 505177.0, 4968, 399320.4, 4968, 375783.2, 4968, 214294.9, 4968, 304703.0, 4968, 251440.5, 4968, 399904.2, 4968, 213598.4, 4968, 125945.7, 4968, 322558.1, 4968, 234550.7
4970, 177218.0, 4970, 218233.4, 4970, 325862.8, 4970, -387037.6, 4970, 426873.2, 4970, 505097.1, 4970, 399353.2, 4970, 375796.5, 4970, 214205.5, 4970, 304605.7, 4970, 251420.3, 4970, 399935.0, 4970, 213587.6, 4970, 125929.5, 4970, 322550.6, 4970, 234558.0
4972, 177200.7, 4972, 218277.6, 4972, 325929.7, 4972, -387117.6, 4972, 426819.3, 4972, 505072.8, 4972, 399361.5, 4972, 375832.4, 4972, 214133.5, 4972, 304555.9, 4972, 251401.4, 4972, 399918.8, 4972, 213584.8, 4972, 125911.1, 4972, 322519.0, 4972, 234540.2
4974, 177156.9, 4974, 218248.1, 4974, 325926.5, 4974, -387123.0, 4974, 426828.0, 4974, 505084.0, 4974, 399342.5, 4974, 375826.9, 4974, 214089.9, 4974, 304555.1, 4974, 251376.4, 4974, 399904.1, 4974, 213609.4, 4974, 125866.1, 4974, 322517.1, 4974, 234520.7
4976, 177158.2, 4976, 218198.8, 4976, 325912.5, 4976, -387101.2, 4976, 426850.4, 4976, 505134.4, 4976, 399324.4, 4976, 375835.8, 4976, 214059.3, 4976, 304575.3, 4976, 251366.1, 4976, 399867.3, 4976, 213615.3, 4976, 125853.6, 4976, 322508.1, 4976, 234522.8
4978, 177170.4, 4978, 218137.8, 4978, 325877.4, 4978, -387043.0, 4978, 426886.4, 4978, 505167.4, 4978, 399304.1, 4978, 375795.7, 4978, 214080.2, 4978, 304632.1, 4978, 251375.7, 4978, 399889.2, 4978, 213620.2, 4978, 125879.1, 4978, 322530.2, 4978, 234497.7
4980, 177191.8, 4980, 218090.8, 4980, 325841.6, 4980, -386986.0, 4980, 426885.2, 4980, 505203.0, 4980, 399309.5, 4980, 375769.7, 4980, 214091.5, 4980, 304668.6, 4980, 251377.6, 4980, 399855.7, 4980, 213597.4, 4980, 125882.1, 4980, 322501.8, 4980, 234507.9
4982, 177182.7, 4982, 218044.3, 4982, 325784.2, 4982, -386923.0, 4982, 426899.9, 4982, 505220.1, 4982, 399284.2, 4982, 375758.5, 4982, 214122.0, 4982, 304699.5, 4982, 251391.2, 4982, 399858.1, 4982, 213579.8, 4982, 125875.6, 4982, 322515.7, 4982, 234503.3
4984, 177197.9, 4984, 218016.9, 4984, 325768.1, 4984, -386897.4, 4984, 426921.4, 4984, 505238.8, 4984, 399284.0, 4984, 375746.7, 4984, 214130.6, 4984, 304716.0, 4984, 251371.5, 4984, 399847.6, 4984, 213579.1, 4984, 125880.0, 4984, 322485.0, 4984, 234521.5
4986, 177211.2, 4986, 218024.2, 4986, 325768.0, 4986, -386866.6, 4986, 426909.7, 4986, 505240.7, 4986, 399286.5, 4986, 375705.7, 4986, 214145.5, 4986, 304722.8, 4986, 251369.8, 4986, 399839.5, 4986, 213568.9, 4986, 125891.0, 4986, 322487.9, 4986, 234510.2
4988, 177221.2, 4988, 218007.8, 4988, 325721.1, 4988, -386851.9, 4988, 426914.1, 4988, 505253.9, 4988, 399253.4, 4988, 375740.1, 4988, 214179.2, 4988, 304737.5, 4988, 251385.9, 4988, 399826.4, 4988, 213560.4, 4988, 125892.4, 4988, 322507.1, 4988, 234512.8
4990, 177218.2, 4990, 218023.9, 4990, 325739.5, 4990, -386832.9, 4990, 426904.3, 4990, 505251.8, 4990, 399263.7, 4990, 375710.6, 4990, 214179.2, 4990, 304725.3, 4990, 251389.0, 4990, 399806.5, 4990, 213588.9, 4990, 125909.6, 4990, 322477.1, 4990, 234521.3
4992, 177214.9, 4992, 218044.9, 4992, 325734.1, 4992, -386854.6, 4992, 426880.5, 4992, 505200.5, 4992, 399270.0, 4992, 375705.8, 4992, 214186.4, 4992, 304709.3, 4992, 251385.1, 4992, 399801.9, 4992, 213538.7, 4992, 125879.0, 4992, 322483.7, 4992, 234481.0
4994, 177211.4, 4994, 218032.2, 4994, 325757.2, 4994, -386891.1, 4994, 426867.0, 4994, 505203.7, 4994, 399282.3, 4994, 375705.8, 4994, 214166.4, 4994, 304718.7, 4994, 251373.0, 4994, 399802.6, 4994, 213519.7, 4994, 125886.7, 4994, 322461.9, 4994, 234516.6
4996, 177228.2, 4996, 218021.9, 4996, 325761.8, 4996, -386852.8, 4996, 426883.4, 4996, 505201.5, 4996, 399262.0, 4996, 375701.4, 4996, 214165.5, 4996, 304697.3, 4996, 251361.4, 4996, 399798.0, 4996, 213535.3, 4996, 125883.1, 4996, 322474.2, 4996, 234467.8
4998, 177199.6, 4998, 218009.2, 4998, 325724.2, 4998, -386853.6, 4998, 426878.9, 4998, 505204.5, 4998, 399264.4, 4998, 375713.0, 4998, 214171.4, 4998, 304712.4, 4998, 251373.5, 4998, 399801.0, 4998, 213508.8, 4998, 125882.4, 4998, 322442.3, 4998, 234501.0
5000, 177218.8, 5000, 217981.8, 5000, 325718.6, 5000, -386857.9, 5000, 426874.7, 5000, 505196.7, 5000, 399261.2, 5000, 375697.3, 5000, 214181.6, 5000, 304729.0, 5000, 251367.8, 5000, 399805.8, 5000, 213518.2, 5000, 125864.8, 5000, 322472.9, 5000, 234474.8
5002, 177224.0, 5002, 218011.9, 5002, 325727.8, 5002, -386822.9, 5002, 426884.0, 5002, 505203.1, 5002, 399265.2, 5002, 375683.4, 5002, 214183.6, 5002, 304717.9, 5002, 251353.5, 5002, 399802.2, 5002, 213511.4, 5002, 125876.5, 5002, 322459.8, 5002, 234493.3
5004, 177224.6, 5004, 218036.7, 5004, 325737.3, 5004, -386870.7, 5004, 426838.2, 5004, 505168.8, 5004, 399247.2, 5004, 375705.3, 5004, 214173.3, 5004, 304695.5, 5004, 251363.8, 5004, 399807.6, 5004, 213493.3, 5004, 125879.7, 5004, 322473.9, 5004, 234478.5
5006, 177208.8, 5006, 218025.9, 5006, 325738.4, 5006, -386861.6, 5006, 426855.8, 5006, 505185.0, 5006, 399245.7, 5006, 375675.7, 5006, 214155.1, 5006, 304674.7, 5006, 251365.1, 5006, 399765.7, 5006, 213457.9, 5006, 125857.7, 5006, 322449.6, 5006, 234457.0
5008, 177212.6, 5008, 218024.9, 5008, 325750.8, 5008, -386867.4, 5008, 426882.0, 5008, 505195.7, 5008, 399268.6, 5008, 375688.1, 5008, 214164.4, 5008, 304692.8, 5008, 251362.9, 5008, 399805.8, 5008, 213520.3, 5008, 125862.2, 5008, 322476.4, 5008, 234477.5
5010, 177227.9, 5010, 218032.0, 5010, 325739.4, 5010, -386863.3, 5010, 426858.4, 5010, 505185.3, 5010, 399232.5, 5010, 375673.6, 5010, 214157.1, 5010, 304696.8, 5010, 251350.6, 5010, 399794.3, 5010, 213521.6, 5010, 125849.4, 5010, 322461.3, 5010, 234472.3
5012, 177216.7, 5012, 218045.8, 5012, 325745.6, 5012, -386876.6, 5012, 426866.8, 5012, 505136.9, 5012, 399255.5, 5012, 375681.5, 5012, 214147.1, 5012, 304647.3, 5012, 251327.1, 5012, 399770.0, 5012, 213496.4, 5012, 125840.6, 5012, 322419.6, 5012, 234460.5
5014, 177195.4, 5014, 218040.0, 5014, 325748.3, 5014, -386871.4, 5014, 426824.6, 5014, 505160.4, 5014, 399241.6, 5014, 375671.9, 5014, 214138.7, 5014, 304631.3, 5014, 251347.4, 5014, 399790.4, 5014, 213472.5, 5014, 125841.0, 5014, 322428.1, 5014, 234464.5
5016, 177226.8, 5016, 218028.2, 5016, 325745.8, 5016, -386880.1, 5016, 426844.3, 5016, 505154.9, 5016, 399230.8, 5016, 375677.0, 5016, 214145.1, 5016, 304657.3, 5016, 251320.0, 5016, 399767.0, 5016, 213498.9, 5016, 125855.9, 5016, 322432.2, 5016, 234443.0
5018, 177219.7, 5018, 218005.4, 5018, 325708.2, 5018, -386848.5, 5018, 426842.6, 5018, 505173.7, 5018, 399233.3, 5018, 375666.1, 5018, 214148.7, 5018, 304675.1, 5018, 251322.2, 5018, 399740.9, 5018, 213462.1, 5018, 125841.6, 5018, 322419.6, 5018, 234441.2
5020, 177228.2, 5020, 217989.2, 5020, 325721.2, 5020, -386840.7, 5020, 426847.0, 5020, 505170.2, 5020, 399224.3, 5020, 375676.7, 5020, 214146.9, 5020, 304685.1, 5020, 251333.7, 5020, 399761.0, 5020, 213480.1, 5020, 125834.3, 5020, 322424.3, 5020, 234445.2
5022, 177222.6, 5022, 217987.8, 5022, 325696.9, 5022, -386807.4, 5022, 426840.0, 5022, 505172.2, 5022, 399204.3, 5022, 375634.8, 5022, 214141.5, 5022, 304677.7, 5022, 251326.8, 5022, 399752.5, 5022, 213471.1, 5022, 125827.9, 5022, 322399.6, 5022, 234432.8
